,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 1.99185145e-01 -2.75552943e-01  9.40423230e-01  9.69491331e-01
  1.95319043e-01 -1.48111541e-01 -1.42869993e-01  9.41233789e-01
  3.06050842e-01  3.73515747e-02  3.19004030e-04 -1.79136880e-02]",,,,,
1,,"[ 0.09644614 -0.06596591 -0.99314992 -0.92937788  0.35122082 -0.11358161
  0.35630748  0.93396602 -0.0274334  -0.03607904 -0.0083282   0.01765692]",,,,
2,,,"[ 0.48140259  0.01564677  0.87635997 -0.04978825  0.99871444  0.00951839
 -0.87508442 -0.04821461  0.48156274  0.          0.          0.        ]",,,
3,,,,"[ 0.97554254  0.21033413  0.06384597  0.21754943 -0.96543707 -0.1435379
  0.03144836  0.15391698 -0.987583    0.00217607 -0.00386131 -0.0053325 ]",,
4,,,,,"[-0.26833254 -0.05461653  0.96177681 -0.01174944 -0.99813165 -0.05995907
  0.96325467 -0.02738931  0.26718953 -0.01595992  0.0052042   0.01103744]",
5,,,,,,"[ 0.95388152 -0.16945516 -0.24778013 -0.13654576 -0.98002764  0.14457272
 -0.26732994 -0.10407192 -0.95796865  0.00899156 -0.00718933  0.0124595 ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 1.99185145e-01 -2.75552943e-01  9.40423230e-01  9.69491331e-01
  1.95319043e-01 -1.48111541e-01 -1.42869993e-01  9.41233789e-01
  3.06050842e-01  3.73515747e-02  3.19004030e-04 -1.79136880e-02]",,,,,
1,,"[ 0.09818167 -0.06400407 -0.99310815 -0.92952895  0.35052628 -0.11448682
  0.35543812  0.9343633  -0.02507836  0.00490841  0.00870371  0.02422234]",,,,
2,,,"[ 0.48127246  0.01555753  0.87643301 -0.04980024  0.99871288  0.00961851
 -0.8751553  -0.04827569  0.48142778  0.          0.          0.        ]",,,
3,,,,"[ 0.97553529  0.21037726  0.06381452  0.21758978 -0.9654161  -0.14361701
  0.03139382  0.15398885 -0.98757342  0.00539134  0.00300074 -0.0034937 ]",,
4,,,,,"[-2.68471495e-01 -5.51299326e-02  9.61708764e-01 -1.12300902e-02
 -9.98113990e-01 -6.03518636e-02  9.63222166e-01 -2.70028312e-02
  2.67346041e-01 -9.93679743e-03 -1.82505846e-02  2.82533467e-04]",
5,,,,,,"[ 9.53980957e-01 -1.69737818e-01 -2.47203159e-01 -1.36865636e-01
 -9.79964323e-01  1.44698034e-01 -2.66811031e-01 -1.04205549e-01
 -9.58098573e-01  8.45830329e-03 -9.27031040e-04  1.38608059e-02]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.19884305 -0.28406878  0.93795866  0.9700534   0.19327267 -0.14711275
 -0.13949168  0.93912229  0.31399277 -0.01386584  0.02552938  0.02587081]",,,,,
1,,"[ 0.10122884 -0.0614986  -0.99296051 -0.92977891  0.34922522 -0.11641678
  0.3539263   0.93501851 -0.02182842  0.05103301  0.03651917  0.02567186]",,,,
2,,,"[ 0.48105773  0.01541625  0.8765533  -0.04971397  0.99871621  0.00971855
 -0.87527817 -0.04825213  0.48120656  0.          0.          0.        ]",,,
3,,,,"[ 9.75524931e-01  2.10475355e-01  6.36492740e-02  2.17661720e-01
 -9.65398369e-01 -1.43628377e-01  3.12166779e-02  1.53967073e-01
 -9.87582605e-01 -4.16823372e-04  8.96453857e-03 -5.45096537e-03]",,
4,,,,,"[-0.26861735 -0.0554903   0.96164728 -0.01096964 -0.9980983  -0.0606578
  0.96318447 -0.02684266  0.26749787 -0.00209306 -0.00826812 -0.00380979]",
