,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-2.21023948e-01 -9.01853240e-01 -3.71226498e-01 -9.72616972e-01
  1.75781865e-01  1.52042554e-01 -7.18651901e-02  3.94666246e-01
 -9.16009768e-01  1.00128190e-03 -1.27553925e-04 -1.23750055e-02]",,,,,
1,,"[ 0.13649702 -0.47850442 -0.86741107  0.99051262  0.0518587   0.12726073
 -0.01591207 -0.87655237  0.48104332  0.0038843  -0.00387031  0.0024609 ]",,,,
2,,,"[-0.88927308 -0.08885884  0.44866192 -0.06064989  0.99519324  0.07688953
 -0.45333763  0.04116449 -0.89038784  0.01375725  0.00147879  0.00306687]",,,
3,,,,"[-0.0290572   0.13609399 -0.99026963  0.16877007 -0.97579683 -0.13905717
 -0.98522697 -0.17116851  0.00538549 -0.00292192 -0.00282454  0.0036535 ]",,
4,,,,,"[ 0.53343279 -0.00461725  0.84582986  0.07852136 -0.99539666 -0.05495416
  0.84218993  0.09573006 -0.53061467 -0.00415047 -0.00196999 -0.00532749]",
5,,,,,,"[-0.1647451  -0.06833017 -0.98396651 -0.08750439 -0.99265139  0.0835841
 -0.98244699  0.09987145  0.15755521 -0.00631214 -0.00821978  0.00169433]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-2.22239911e-01 -9.01858444e-01 -3.70487025e-01 -9.72319088e-01
  1.76888924e-01  1.52662405e-01 -7.21448517e-02  3.94159315e-01
 -9.16205951e-01 -6.61749626e-04 -2.22265697e-03 -1.19950064e-02]",,,,,
1,,"[ 0.1371171  -0.47982515 -0.86658334  0.99044805  0.0535674   0.12705572
 -0.01454393 -0.8757273   0.48258692  0.          0.          0.        ]",,,,
2,,,"[-8.89279593e-01 -8.87178891e-02  4.48676643e-01 -6.06239976e-02
  9.95214909e-01  7.66290696e-02 -4.53328054e-01  4.09441026e-02
 -8.90402742e-01 -6.66999072e-03 -3.77058983e-04 -9.28361714e-03]",,,
3,,,,"[-0.02912032  0.13610307 -0.99026654  0.168597   -0.97582409 -0.13907596
 -0.98525475 -0.17100593  0.00546988  0.          0.          0.        ]",,
