,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.02465668 -0.82672585 -0.56206428 -0.98415382 -0.11882835  0.13160888
 -0.1755937   0.54991273 -0.81655529 -0.04718855  0.07700932  0.06974923]",,,,,
1,,"[ 0.17931544 -0.75940311 -0.62542202 -0.97721771 -0.21086063 -0.02414658
 -0.11353998  0.6155034  -0.77991271 -0.09546827  0.17506754  0.09493405]",,,,
2,,,"[ 0.33768497  0.00877101  0.94121829 -0.11878158  0.99235956  0.03336819
 -0.9337343  -0.12306733  0.33614674 -0.05416932  0.01326895 -0.01116783]",,,
3,,,,"[-0.52285525 -0.27377179  0.80726154  0.47384636 -0.88056853  0.00827272
  0.70858437  0.38684341  0.59013585 -0.11551382  0.1740191  -0.29657149]",,
4,,,,,"[-0.33633374  0.10930781  0.9353775   0.00684392 -0.99293087  0.11849436
  0.9417178   0.04625532  0.33320842 -0.03154907  0.05362731  0.0468572 ]",
5,,,,,,"[ 0.37630224  0.06742202  0.92404043 -0.10136377 -0.98836559  0.1133944
  0.9209353  -0.13633479 -0.36508986  0.12058389  0.19317275  0.14330512]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.02322715 -0.83257429 -0.55342605 -0.98490494 -0.11403707  0.13022145
 -0.17153017  0.54204743 -0.82265527 -0.06153014  0.11440575  0.07218246]",,,,,
1,,"[ 0.17543169 -0.77052075 -0.61279807 -0.97715825 -0.21211278 -0.01303399
 -0.11993935  0.60108728 -0.79013201 -0.06761117  0.1768378   0.07967987]",,,,
2,,,"[ 0.33428477  0.00667034  0.94244848 -0.11705925  0.99252565  0.03449593
 -0.93517419 -0.12185378  0.33256703 -0.08667896  0.01483154  0.01554501]",,,
3,,,,"[-0.522498   -0.27763735  0.80617205  0.48577261 -0.87397548  0.01385185
  0.7007288   0.39885386  0.59151903 -0.04978003  0.09335971 -0.22541405]",,
4,,,,,"[-0.33758877  0.11170978  0.93464149  0.00702296 -0.99260635  0.1211745
  0.94126748  0.0474711   0.33430826 -0.03778999  0.05727822  0.03875068]",
5,,,,,,"[ 0.36731257  0.07402018  0.92714752 -0.11101937 -0.98621239  0.1227188
  0.923448   -0.14800749 -0.35403056  0.10560811  0.17518538  0.18029527]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
