,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.06521009  0.99762412 -0.02222229  0.97194883  0.0685433   0.22498299
  0.22597164 -0.00692778 -0.97410931 -0.00403345 -0.00375992 -0.00947366]",,,,,
1,,"[-1.14937331e-01  4.14639027e-01 -9.02697998e-01  9.82705976e-01
  1.80271557e-01 -4.23199247e-02  1.45183210e-01 -8.91950945e-01
 -4.28188134e-01 -2.95536290e-03  2.88784504e-04 -9.45226569e-03]",,,,
2,,,"[ 0.4179296   0.10552511 -0.90232984  0.01242195 -0.99380167 -0.11046908
 -0.9083944   0.03495959 -0.41664982  0.          0.          0.        ]",,,
3,,,,"[-0.17282989 -0.07847266  0.98182059 -0.0419881  -0.99532784 -0.08694342
  0.98405622 -0.05625122  0.16872767  0.          0.          0.        ]",,
4,,,,,"[-1.99840226e-01 -1.52162318e-01 -9.67941293e-01 -9.08728867e-02
  9.86488692e-01 -1.36316460e-01  9.75605369e-01  6.07181020e-02
 -2.10967552e-01  6.86174911e-03  7.77661742e-04 -4.47057979e-03]",
5,,,,,,"[-0.69298531  0.04875547 -0.71930108 -0.0531345  -0.99845114 -0.01648617
 -0.71899086  0.02679503  0.69450279  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-6.52612571e-02  9.97621622e-01 -2.21841869e-02  9.71921019e-01
  6.85852892e-02  2.25090324e-01  2.26076476e-01 -6.87160729e-03
 -9.74085386e-01 -1.72208005e-03  8.88645649e-04 -1.20140715e-02]",,,,,
1,,"[-0.11486843  0.41464227 -0.90270527  0.9826988   0.18033561 -0.0422136
  0.14528629 -0.89193649 -0.42818328 -0.00316634 -0.00373626 -0.00550297]",,,,
2,,,"[ 0.41797304  0.10552962 -0.90230924  0.01249205 -0.99380373 -0.11044373
 -0.90837349  0.0348908  -0.41670136  0.          0.          0.        ]",,,
3,,,,"[-0.17288655 -0.07846045  0.98181168 -0.04204111 -0.99532574 -0.0869434
  0.98404408 -0.0563078   0.1687799   0.          0.          0.        ]",,
4,,,,,"[-1.99914488e-01 -1.52093940e-01 -9.67936569e-01 -9.07481088e-02
  9.86506728e-01 -1.36269043e-01  9.75601634e-01  6.05962437e-02
 -2.11019224e-01  6.18446805e-03 -2.73168058e-04 -5.95944608e-03]",
5,,,,,,"[-0.69288635  0.04870114 -0.71939996 -0.05310639 -0.99845324 -0.01644303
 -0.71908819  0.02681158  0.69440136  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-6.54807341e-02  9.97608516e-01 -2.21248330e-02  9.71858127e-01
  6.87872247e-02  2.25299991e-01  2.26283097e-01 -6.74938850e-03
 -9.74038182e-01 -6.53813872e-03  9.51111317e-04 -1.54774180e-02]",,,,,
1,,"[-0.11484556  0.41492063 -0.90258034  0.98268323  0.18045097 -0.04208383
  0.14541001 -0.89178374 -0.42845951 -0.00141157  0.00162536 -0.00826662]",,,,
2,,,"[ 0.41810938  0.10556047 -0.90224244  0.01253948 -0.99380109 -0.11046171
 -0.90831008  0.03487142 -0.41684113  0.          0.          0.        ]",,,
3,,,,"[-0.17288671 -0.0785127   0.98180756 -0.04209348 -0.99531827 -0.08700536
  0.98404191 -0.05636976  0.16877227  0.          0.          0.        ]",,
4,,,,,"[-0.20014501 -0.15202008 -0.96790074 -0.09071178  0.98652139 -0.13618705
  0.97555795  0.06054284 -0.21123735  0.00430095  0.00278467 -0.00496225]",
5,,,,,,"[-0.69288635  0.04870114 -0.71939996 -0.05310639 -0.99845324 -0.01644303
 -0.71908819  0.02681158  0.69440136  0.          0.          0.        ]"
