,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.10060427 -0.97929092 -0.17569294 -0.90804652 -0.01820753 -0.41847331
  0.40660818  0.20163755 -0.89107347  0.06686772  0.019333   -0.05425953]",,,,,
1,,"[-0.45100514 -0.53302444 -0.71587665 -0.79843436  0.59940476  0.0567145
  0.39886966  0.59715903 -0.69591965 -0.01010259  0.01055145 -0.01693626]",,,,
2,,,"[ 9.43408752e-01 -5.65061988e-02  3.26782770e-01 -1.77308341e-02
 -9.92562031e-01 -1.20442338e-01  3.31157888e-01  1.07832225e-01
 -9.37393613e-01 -1.26779766e-03  5.40614128e-05  4.94091539e-03]",,,
3,,,,"[ 0.97502506  0.08658426 -0.20452213  0.05979312 -0.98921235 -0.13372851
 -0.21389465  0.11815963 -0.96968397  0.          0.          0.        ]",,
4,,,,,"[-0.46501847 -0.04921335 -0.88393203 -0.23585774  0.96925479  0.07011618
  0.8533047   0.24108753 -0.46232873 -0.01269669  0.00135869  0.01109461]",
5,,,,,,"[ 0.96518558  0.00249736  0.26155412  0.04076564 -0.98917183 -0.14098838
  0.25836981  0.14674238 -0.95483621 -0.00511921 -0.00141525 -0.00106446]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.10056303 -0.97890313 -0.17786424 -0.90873151 -0.01758446 -0.41701051
  0.40508526  0.20356668 -0.89132847  0.0274616   0.02502799 -0.04991706]",,,,,
1,,"[-4.50912850e-01 -5.33209864e-01 -7.15796451e-01 -7.98615269e-01
  5.99159343e-01  5.67596346e-02  3.98611303e-01  5.97239687e-01
 -6.95998171e-01 -2.33213603e-02 -3.22580338e-04  1.10845724e-02]",,,,
2,,,"[ 9.43421549e-01 -5.65472900e-02  3.26738684e-01 -1.77748984e-02
 -9.92559337e-01 -1.20455065e-01  3.31119037e-01  1.07832155e-01
 -9.37406973e-01 -8.58230749e-04  3.69507074e-03  5.36802271e-03]",,,
3,,,,"[ 0.97505554  0.0865353  -0.20439747  0.05975757 -0.98921389 -0.13373441
 -0.21376557  0.11818418 -0.96970963  0.00307165  0.00288057 -0.0032649 ]",,
4,,,,,"[-0.46543101 -0.04995735 -0.88367302 -0.23633281  0.9691701   0.06968581
  0.85294815  0.24127489 -0.46288838 -0.00879123  0.00985998  0.01194114]",
5,,,,,,"[ 0.96515058  0.00252194  0.26168303  0.04082588 -0.98916158 -0.14104283
  0.25849103  0.146811   -0.95479284 -0.00715343 -0.00288719 -0.0020674 ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.10188744 -0.97778329 -0.18318996 -0.9092101  -0.0168035  -0.41599806
  0.40367775  0.20894311 -0.8907225  -0.04014411  0.00985754  0.00933246]",,,,,
