,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-4.60011173e-04  4.01627884e-01 -9.15802750e-01  9.90366003e-01
  1.26997211e-01  5.51974043e-02  1.38473152e-01 -9.06954584e-01
 -3.97816986e-01 -1.95868108e-02  1.47125721e-02  1.16079627e-02]",,,,,
1,,"[ 0.2683094   0.94449736 -0.18956492 -0.94993699  0.22670293 -0.21500129
 -0.16009322  0.2377616   0.95803945  0.00990857  0.01488829  0.02382241]",,,,
2,,,"[-0.48145187 -0.15143827 -0.86329044  0.26965099 -0.96278013  0.018508
 -0.8339618  -0.22387643  0.50436793 -0.00450811  0.00278956 -0.01898645]",,,
3,,,,"[ 1.06653695e-01  2.46427449e-01 -9.63274912e-01  1.56040068e-01
 -9.60944556e-01 -2.28554539e-01 -9.81975835e-01 -1.25933286e-01
 -1.40940896e-01  1.45555642e-02 -8.84056033e-04  6.08571433e-02]",,
4,,,,,"[-0.64389396  0.09103059 -0.75968022 -0.00621703  0.99224182  0.12416733
  0.7650895   0.08467355 -0.63833257  0.00749587  0.01150995 -0.01538733]",
5,,,,,,"[ 0.97108241 -0.17002271 -0.16760436 -0.20259228 -0.95826409 -0.20170787
 -0.12631434  0.22983032 -0.96499869  0.00305468  0.02215266 -0.0067942 ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.00412006  0.40025513 -0.9163945   0.99111247  0.12021408  0.05696211
  0.13296291 -0.90848469 -0.39620257 -0.00833915  0.01844299  0.01296235]",,,,,
1,,"[ 0.26787684  0.94484266 -0.18845231 -0.95044943  0.22712846 -0.21226979
 -0.15775869  0.23597655  0.9588677   0.02237491  0.00850546  0.02228607]",,,,
2,,,"[-0.48153815 -0.15202921 -0.86313842  0.27025744 -0.9626049   0.01877426
 -0.83371562 -0.22422907  0.5046182   0.00249603  0.02003377 -0.01420686]",,,
3,,,,"[ 0.1057318   0.24344557 -0.9641343   0.15592123 -0.96163452 -0.22571529
 -0.98209432 -0.12646374 -0.13963358 -0.02184176  0.01053929  0.05612433]",,
4,,,,,"[-0.64389396  0.09103059 -0.75968022 -0.00621703  0.99224182  0.12416733
  0.7650895   0.08467355 -0.63833257  0.00804495  0.01294929 -0.01234819]",
5,,,,,,"[ 9.71208840e-01 -1.70152438e-01 -1.66737937e-01 -2.02555369e-01
 -9.58209495e-01 -2.02004989e-01 -1.25398224e-01  2.29962694e-01
 -9.65086823e-01 -1.36330177e-03  2.42029428e-02  8.21781869e-05]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.00798477  0.40005809 -0.91645497  0.99191394  0.11291754  0.05793383
  0.12666072 -0.90950707 -0.39592157 -0.00377125  0.00223577  0.00983184]",,,,,
1,,"[ 0.26780112  0.94487915 -0.18837718 -0.95078516  0.22754628 -0.21030995
 -0.15585296  0.23542747  0.95931421  0.02575936  0.01683486  0.00639171]",,,,
2,,,"[-0.48274212 -0.15400778 -0.86211473  0.27164609 -0.96219409  0.01977739
 -0.83256748 -0.2246427   0.50632706 -0.01346051  0.00561994  0.04343972]",,,
3,,,,"[ 0.1054181   0.24206199 -0.96451693  0.15563798 -0.96198447 -0.2244158
 -0.98217296 -0.126458   -0.1390845  -0.01431318  0.03172087  0.04420371]",,
4,,,,,"[-0.64382109  0.09105282 -0.75973916 -0.00624128  0.99223681  0.12420608
  0.76515047  0.08470825 -0.6382547   0.00345875  0.01624304 -0.00963501]",
5,,,,,,"[ 0.97151336 -0.17033675 -0.16476401 -0.20238587 -0.95805954 -0.2028828
 -0.12329537  0.23044926 -0.96524139 -0.00378483  0.03676462  0.00497065]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.00962773  0.40009277 -0.91642409  0.99233128  0.10911985  0.05806481
  0.12323139 -0.90995531 -0.395974   -0.00548884  0.00451434  0.01051892]",,,,,
1,,"[ 0.26794225  0.94478031 -0.18867207 -0.95088568  0.22782661 -0.20955068
 -0.15499483  0.23555305  0.95942241  0.01605558  0.01405478  0.00135992]",,,,
2,,,"[-0.48486271 -0.15681647 -0.86041663  0.27272916 -0.96184804  0.02161443
 -0.83097954 -0.22418067  0.50913264  0.03957097  0.0232262   0.03684754]",,,
3,,,,"[ 0.10445855  0.23902085 -0.96537938  0.15506481 -0.96273256 -0.2215868
 -0.98236613 -0.12654975 -0.13762927 -0.0245097   0.00423169  0.01847661]",,
4,,,,,"[-0.64381303  0.09127523 -0.75971935 -0.00615203  0.99221045  0.12442093
  0.76515803  0.08477764 -0.63823649  0.01104315  0.01127023 -0.01430333]",
5,,,,,,"[ 0.97176577 -0.17044944 -0.1631511  -0.20220162 -0.95795738 -0.20354954
 -0.12159688  0.23079189 -0.96537534  0.0051383   0.03252637 -0.00124328]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
