,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-6.66591059e-02  9.19305459e-01  3.87858149e-01 -8.98822333e-01
 -2.24101501e-01  3.76691947e-01  4.33214592e-01 -3.23505616e-01
  8.41230777e-01 -2.41675340e-02  7.50780106e-04 -1.26397461e-02]",,,,,
1,,"[-2.72166908e-01 -8.25280770e-01 -4.94809839e-01 -8.74726269e-01
  4.26471974e-01 -2.30164263e-01  4.00972667e-01  3.70180071e-01
 -8.37966327e-01 -2.40140548e-03  1.21930242e-02 -1.89195591e-04]",,,,
2,,,"[ 0.45627294  0.16275796 -0.87482846  0.03233687 -0.98551359 -0.16648492
 -0.88925211  0.04767335 -0.45492625  0.          0.          0.        ]",,,
3,,,,"[-0.1296887  -0.11653183  0.98468321 -0.01607592 -0.99269222 -0.11959696
  0.99142435 -0.03134007  0.12686776 -0.00256541 -0.00108635  0.00440682]",,
4,,,,,"[-0.25736681 -0.17441774 -0.95044237 -0.2760792   0.95585015 -0.10065165
  0.92603592  0.23649298 -0.29415722  0.01359509 -0.0026263  -0.01012053]",
5,,,,,,"[-7.33497381e-01  1.38819380e-01 -6.65365119e-01 -1.74894670e-02
 -9.82451784e-01 -1.85694842e-01 -6.79467203e-01 -1.24569802e-01
  7.23053718e-01  1.91425439e-04 -3.85308242e-03 -6.64489530e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.06573476  0.91970167  0.38707591 -0.8989149  -0.22297592  0.37713887
  0.43316386 -0.32315717  0.84139082 -0.01272672  0.00450438 -0.02233602]",,,,,
1,,"[-2.72404575e-01 -8.25309938e-01 -4.94630311e-01 -8.74720209e-01
  4.26566043e-01 -2.30012863e-01  4.00824392e-01  3.70006579e-01
 -8.38113823e-01 -2.78700580e-04  1.05131269e-02 -2.55973870e-03]",,,,
2,,,"[ 0.45641206  0.16275689 -0.87475606  0.03227321 -0.98550886 -0.1665247
 -0.889183    0.04777269 -0.45505075  0.00349244 -0.00265205  0.00242047]",,,
3,,,,"[-1.29688698e-01 -1.16531830e-01  9.84683205e-01 -1.60759170e-02
 -9.92692224e-01 -1.19596957e-01  9.91424353e-01 -3.13400698e-02
  1.26867765e-01 -7.39967031e-03 -9.05096473e-04  3.83308972e-04]",,
4,,,,,"[-0.2573176  -0.17466596 -0.95041006 -0.27609849  0.95581758 -0.10090777
  0.92604379  0.23644145 -0.29417369  0.00514979  0.00198764 -0.00944531]",
5,,,,,,"[-7.33385286e-01  1.39064694e-01 -6.65437521e-01 -1.76384487e-02
 -9.82416398e-01 -1.85868171e-01 -6.79584409e-01 -1.24575691e-01
  7.22942555e-01  2.35168845e-04 -9.83774546e-04 -9.18607414e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.06500146  0.92012885  0.3861835  -0.89902081 -0.22194653  0.37749344
  0.4330547  -0.32264937  0.84164185 -0.01464307  0.00098735 -0.01465587]",,,,,
1,,"[-0.27276591 -0.82540531 -0.49427188 -0.87479516  0.42660758 -0.22965049
  0.40041486  0.36974583 -0.83842457  0.00827825  0.01054305 -0.00310228]",,,,
2,,,"[ 0.45669024  0.16267211 -0.87462661  0.03222992 -0.98551976 -0.16646819
 -0.8890417   0.04783524 -0.45532007  0.00253135  0.00198805  0.00685969]",,,
3,,,,"[-0.12973696 -0.11664762  0.98466319 -0.01599544 -0.9926806  -0.11970493
  0.99141939 -0.03128028  0.12692159 -0.00773254  0.00224519  0.00246929]",,
4,,,,,"[-0.25714172 -0.17491473 -0.95041201 -0.27622969  0.95575285 -0.10116147
  0.92605362  0.23651918 -0.29408057  0.00652129  0.0012306  -0.00902611]",
5,,,,,,"[-7.33293221e-01  1.39430448e-01 -6.65462150e-01 -1.79078619e-02
 -9.82368032e-01 -1.86096704e-01 -6.79676417e-01 -1.24546476e-01
  7.22861045e-01 -3.22064362e-03  7.46726943e-03 -6.65007334e-04]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
