,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 2.30729764e-01 -1.56860789e-01  9.60290789e-01  9.66599991e-01
 -7.62146567e-02 -2.44695091e-01  1.11571346e-01  9.84675542e-01
  1.34036691e-01  2.04260647e-02 -6.50823116e-04  1.12226587e-02]",,,,,
1,,"[ 0.01317325 -0.80965681 -0.58675576  0.99794073  0.04748602 -0.0431206
  0.06277559 -0.58497943  0.80861504 -0.00784488  0.00452006  0.01715939]",,,,
2,,,"[ 0.465497    0.14090133 -0.8737616   0.04338696 -0.98969198 -0.13648165
 -0.88398534  0.02562194 -0.4668119   0.00208644  0.00546974  0.00397123]",,,
3,,,,"[-3.35979518e-01  6.93564240e-02 -9.39312234e-01  2.68720767e-02
 -9.96173292e-01 -8.31666840e-02 -9.41485888e-01 -5.31835717e-02
  3.32830049e-01 -1.75877810e-02  4.48822975e-05  2.61935331e-02]",,
4,,,,,"[ 0.52446195  0.24006595 -0.81688918 -0.29132872  0.95211452  0.09276589
  0.80004198  0.18933112  0.56928595  0.06759735 -0.00423831  0.07040199]",
5,,,,,,"[ 0.44692741  0.12864896 -0.88527134  0.03639353 -0.99140072 -0.12569864
 -0.89382963  0.02396002 -0.44776615  0.01246265 -0.00259382  0.01646243]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.23076947 -0.15585176  0.96044558  0.96659478 -0.0764289  -0.24464911
  0.11153478  0.98481921  0.13300802  0.01346772  0.00240886  0.00420168]",,,,,
1,,"[ 0.01200125 -0.80988419 -0.58646692  0.99798749  0.04622255 -0.04340879
  0.06226406 -0.58476573  0.80880913  0.01348926  0.00116026  0.03097535]",,,,
2,,,"[ 0.46555532  0.14097412 -0.87371874  0.04309439 -0.98967165 -0.13672052
 -0.8839689   0.02599858 -0.46682199  0.00253769  0.01333982  0.02013106]",,,
3,,,,"[-0.33600746  0.06993908 -0.93925896  0.02611538 -0.99616386 -0.08351877
 -0.94149714 -0.05259204  0.33289211 -0.02835431  0.00402498  0.0077702 ]",,
4,,,,,"[ 0.54040801  0.24567298 -0.80473845 -0.29134454  0.95189437  0.09494986
  0.78935261  0.18314449  0.58598682  0.08778553 -0.00639874  0.06998103]",
5,,,,,,"[ 0.44598278  0.127991   -0.88584287  0.03612019 -0.99149    -0.12507052
 -0.89431237  0.02378248 -0.44681045  0.01158812 -0.00883597  0.01044075]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.23075186 -0.15418651  0.96071854  0.96662743 -0.07660381 -0.24446531
  0.11128794  0.98506771  0.13136444  0.02229206 -0.01109397  0.00291844]",,,,,
1,,"[ 0.01164373 -0.80890034 -0.58783033  0.99796014  0.04630269 -0.04394856
  0.06276809 -0.58611956  0.80778957  0.02271253  0.00534523  0.02288927]",,,,
2,,,"[ 0.46651934  0.14114272 -0.87317714  0.04246474 -0.98962178 -0.1372772
 -0.88349099  0.02696322 -0.46767118 -0.00929652  0.00162488 -0.00711742]",,,
3,,,,"[-0.33650769  0.0708039  -0.9390151   0.02422242 -0.99618853 -0.08379532
 -0.94136912 -0.05094299  0.33351008 -0.02639153 -0.00792235  0.00628874]",,
4,,,,,"[ 0.55328725  0.25028056 -0.7945016  -0.29122161  0.95172495  0.09700301
  0.78042496  0.17770553  0.59946439  0.09875543 -0.01554084  0.06544558]",
5,,,,,,"[ 0.44399113  0.12693291 -0.88699485  0.0354562  -0.99162862 -0.12415864
 -0.89532937  0.02367586 -0.44477482  0.0180824  -0.02116459 -0.0167065 ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
