,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.08325894  0.41663862 -0.90525139  0.97722685  0.2120566   0.00771942
  0.19518069 -0.8839933  -0.42480602 -0.02509027  0.01463687 -0.01094098]",,,,,
1,,"[ 0.31345814  0.93591731 -0.16063219 -0.93191147  0.2706863  -0.24139151
 -0.18244158  0.22536112  0.95704098  0.00630011 -0.01492918  0.01648726]",,,,
2,,,"[-0.42472295 -0.08544714 -0.90128209  0.22468443 -0.97433809 -0.01350768
 -0.87699916 -0.20824106  0.43302219  0.04980665  0.01022023  0.04221962]",,,
3,,,,"[ 0.16266324  0.30389584 -0.93871619  0.13929627 -0.94893143 -0.28306522
 -0.97679953 -0.08471533 -0.19668791 -0.02661877 -0.01525295 -0.02500125]",,
4,,,,,"[-0.62511945  0.05029489 -0.77890689 -0.05254644  0.99294606  0.10628731
  0.77875824  0.10737106 -0.61806708 -0.03569505  0.00585359 -0.02102175]",
5,,,,,,"[ 0.97768172 -0.12169948 -0.1712533  -0.14818436 -0.97728949 -0.15148022
 -0.14892902  0.1734765  -0.97351202 -0.00673628  0.0049057   0.00138771]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.08139409  0.41604128 -0.9056957   0.9772792   0.21174578  0.00944055
  0.19570492 -0.88434914 -0.42382336 -0.02304304  0.01993597 -0.01560251]",,,,,
1,,"[ 0.31345814  0.93591731 -0.16063219 -0.93191147  0.2706863  -0.24139151
 -0.18244158  0.22536112  0.95704098  0.00630011 -0.01492918  0.01648726]",,,,
2,,,"[-0.42672296 -0.08698971 -0.9001889   0.22425617 -0.97445445 -0.0121394
 -0.87613723 -0.20705309  0.43533031  0.02048248 -0.00110286  0.01339318]",,,
3,,,,"[ 0.16212766  0.3036335  -0.93889359  0.13826193 -0.94908558 -0.28305458
 -0.97703538 -0.08392229 -0.19585386 -0.00957942 -0.00807518 -0.02276267]",,
4,,,,,"[-0.62698514  0.0495332  -0.77745492 -0.05256291  0.9930125   0.10565661
  0.77725597  0.10711042 -0.62000047 -0.03289351  0.00794488 -0.02185703]",
