,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.16562704 -0.97146061 -0.16979983  0.81215685  0.03669048  0.58228436
 -0.55943628 -0.23434613  0.79505531 -0.09885318 -0.0828957  -0.04927991]",,,,,
1,,"[ 0.04457964  0.17285665 -0.98393763  0.81510522 -0.57574291 -0.06421533
 -0.57759515 -0.79914999 -0.16656279 -0.02127853 -0.05569148  0.06486451]",,,,
2,,,"[ 4.99788066e-01  7.16362625e-02  8.63180237e-01 -1.20684953e-01
  9.92612150e-01 -1.25004325e-02 -8.57698676e-01 -9.79253005e-02
  5.04741126e-01  8.92745983e-03 -1.12915039e-03 -7.36751826e-04]",,,
3,,,,"[-0.43694346 -0.19669119  0.87772039  0.12018032 -0.9798159  -0.15974239
  0.89142426  0.03568634  0.45176246 -0.00465266 -0.00135744 -0.0167949 ]",,
4,,,,,"[-0.30642813  0.0883569   0.94778407 -0.00999451 -0.99592629  0.08961362
  0.95184121  0.01798751  0.30606314  0.00196255 -0.00610691  0.02400325]",
5,,,,,,"[ 0.36893036  0.06125224  0.92743653 -0.11471265 -0.98719671  0.11083129
  0.922351   -0.14727773 -0.3571804  -0.01191409  0.00331992  0.01199611]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.16683513 -0.97153427 -0.16818758  0.81485281  0.03981685  0.57829867
 -0.55514034 -0.23352863  0.79830042 -0.0513723  -0.01140749 -0.00873276]",,,,,
1,,"[ 4.16498159e-02  1.68676906e-01 -9.84791007e-01  8.16138483e-01
 -5.74317532e-01 -6.38532649e-02 -5.76353366e-01 -8.01066392e-01
 -1.61583886e-01 -5.80283813e-03  9.47117805e-05  7.29881600e-02]",,,,
2,,,"[ 0.49958788  0.07161035  0.86329828 -0.12047448  0.9926362  -0.0126207
 -0.85784489 -0.09770026  0.50453623  0.          0.          0.        ]",,,
3,,,,"[-0.43765485 -0.19633711  0.87744508  0.11988201 -0.9798972  -0.15946667
  0.89111527  0.03539851  0.45239416 -0.03109687 -0.00414056 -0.02145236]",,
4,,,,,"[-0.30769953  0.0886073   0.94734878 -0.00972103 -0.99589515  0.08999054
  0.9514339   0.01848085  0.30729786 -0.00146891 -0.00916779  0.02652232]",
5,,,,,,"[ 0.3681602   0.06125989  0.92774196 -0.11442193 -0.98725661  0.1105963
  0.92269472 -0.14687119 -0.35645897  0.01253483 -0.00169623  0.00905714]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 1.67412011e-01 -9.71756257e-01 -1.66321701e-01  8.16198380e-01
  4.19853340e-02  5.76244162e-01 -5.52985836e-01 -2.32221678e-01
  8.00174816e-01  6.60892017e-03 -3.42057943e-02  8.71035154e-04]",,,,,
1,,"[ 0.04057239  0.16959701 -0.98467791  0.81662001 -0.5734892  -0.0651278
 -0.57574775 -0.80146537 -0.16176402 -0.01015493  0.02620208  0.03938887]",,,,
2,,,"[ 0.49933052  0.07137253  0.86346678 -0.12002417  0.99269043 -0.01264565
 -0.85805776 -0.09732254  0.50424706  0.01313065 -0.00308448  0.01285114]",,,
3,,,,"[-0.43802651 -0.19607093  0.87731903  0.11967752 -0.97995621 -0.15925679
  0.89096003  0.03523666  0.45271237 -0.02816563 -0.00134379 -0.01578098]",,
4,,,,,"[-3.08494825e-01  8.88909956e-02  9.47063482e-01 -9.88551778e-03
 -9.95869839e-01  9.02518520e-02  9.51174603e-01  1.84800203e-02
  3.08099519e-01  8.81614164e-04 -4.80729342e-03  1.97782628e-02]",
5,,,,,,"[ 0.3677251   0.06119403  0.92791888 -0.11427723 -0.9872958   0.11039674
  0.92288617 -0.14663566 -0.35606027  0.01306141 -0.0031513   0.01410108]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.16876501 -0.9712233  -0.16805829  0.81917955  0.04338588  0.57189373
 -0.54814519 -0.23418555  0.80292836  0.11670829 -0.02449459 -0.04068311]",,,,,
1,,"[ 0.03857023  0.1716884  -0.98439597  0.81828229 -0.57083977 -0.06749848
 -0.57352108 -0.80291036 -0.16250699 -0.00391234  0.0280968  -0.08838031]",,,,
2,,,"[ 0.4992828   0.07116723  0.86351133 -0.11962941  0.99273805 -0.01264779
 -0.85814066 -0.09698654  0.50417073  0.          0.          0.        ]",,,
3,,,,"[-0.43861023 -0.19568295  0.87711394  0.11932517 -0.98004456 -0.15897682
  0.89072004  0.03493289  0.45320786  0.00148283  0.00246453  0.0082505 ]",,
4,,,,,"[-3.08740340e-01  8.89328149e-02  9.46979584e-01 -1.00625121e-02
 -9.95868880e-01  9.02434662e-02  9.51093121e-01  1.83328059e-02
  3.08359808e-01  7.15908129e-04 -1.14132166e-02  1.91916469e-02]",
5,,,,,,"[ 0.36704846  0.06101832  0.92819833 -0.11394772 -0.98738172  0.10996863
  0.92319624 -0.1461299  -0.355464    0.01300976  0.00848335  0.01173327]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.1719497  -0.9685173  -0.18002084  0.8220314   0.04036529  0.56800966
 -0.54286061 -0.24565187  0.80309247 -0.03156666  0.10122502  0.00232876]",,,,,
1,,"[ 0.03598332  0.1664289  -0.9853966   0.82068534 -0.56756822 -0.06589108
 -0.5702461  -0.80632963 -0.15700864  0.04171903  0.0565908  -0.04729551]",,,,
2,,,"[ 4.99463980e-01  7.11773240e-02  8.63405690e-01 -1.19481903e-01
  9.92754859e-01 -1.27225635e-02 -8.58055751e-01 -9.68069079e-02
  5.04349697e-01 -4.83397441e-03 -3.23534012e-04  9.17393900e-03]",,,
3,,,,"[-0.43838326 -0.19534138  0.87730368  0.1188364  -0.98012411 -0.15885367
  0.89089725  0.03461682  0.45288378  0.0041498  -0.0052824   0.01066331]",,
4,,,,,"[-0.30918841  0.08880043  0.94684584 -0.01042218 -0.99588757  0.08999652
  0.95094371  0.01795768  0.30884236  0.00946921 -0.02663195  0.00660839]",
5,,,,,,"[ 3.67389536e-01  6.08225264e-02  9.28076294e-01 -1.13688647e-01
 -9.87439645e-01  1.09717914e-01  9.23092562e-01 -1.45820950e-01
 -3.55860221e-01  4.13127011e-03 -1.38282776e-04  2.30364632e-02]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.17380167 -0.96689441 -0.18683701  0.82304385  0.03844318  0.56667523
 -0.54073255 -0.25226414  0.80247809 -0.09232827  0.1153394   0.02207289]",,,,,
1,,"[ 0.03496838  0.16140567 -0.98626835  0.82175403 -0.56628862 -0.06353937
 -0.56876829 -0.8082482  -0.15243785  0.04370105  0.06856167  0.0218215 ]",,,,
2,,,"[ 5.00216861e-01  7.07770449e-02  8.63002726e-01 -1.18884360e-01
  9.92829216e-01 -1.25162482e-02 -8.57700183e-01 -9.63366882e-02
  5.05044198e-01  7.24085048e-03  7.38143921e-04  2.49799807e-04]",,,
3,,,,"[-0.43807079 -0.19519743  0.87749166  0.11850618 -0.98016062 -0.15887415
  0.8910948   0.03439004  0.45251217  0.          0.          0.        ]",,
4,,,,,"[-0.30949771  0.08825289  0.94679596 -0.01084395 -0.99594667  0.08928956
  0.95083835  0.0173679   0.30920023  0.00660238 -0.00282031  0.01153381]",
5,,,,,,"[ 0.36748934  0.06087264  0.92803342 -0.11359867 -0.98744585  0.1097533
  0.92306384 -0.14575653 -0.35596069  0.00923097 -0.00247592  0.01623764]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.1772871  -0.96440525 -0.19619291  0.82421103  0.03655421  0.56510159
 -0.53781532 -0.26188956  0.80135417 -0.1158785   0.05498004  0.01131671]",,,,,
1,,"[ 0.03452489  0.15176344 -0.98781367  0.82317919 -0.56481097 -0.05800437
 -0.56673098 -0.81114508 -0.14442851  0.04961298  0.06738591  0.05172088]",,,,
2,,,"[ 5.00178267e-01  7.05364716e-02  8.63044731e-01 -1.18376062e-01
  9.92889602e-01 -1.25437305e-02 -8.57792929e-01 -9.58897461e-02
  5.04971631e-01  5.17196255e-03  5.39183617e-04 -4.82884562e-03]",,,
3,,,,"[-0.43797063 -0.19501752  0.87758194  0.11794109 -0.9802145  -0.15896437
  0.89121928  0.03388125  0.45230557 -0.00140694  0.002949    0.00952744]",,
4,,,,,"[-0.30970554  0.08791373  0.94675954 -0.01105255 -0.99598199  0.08886888
  0.95076826  0.01705908  0.30943284  0.0073449   0.01175028  0.00964354]",
5,,,,,,"[ 3.68074436e-01  6.09029556e-02  9.27799495e-01 -1.13498201e-01
 -9.87447103e-01  1.09845099e-01  9.22843016e-01 -1.45734750e-01
 -3.56541522e-01  1.64224692e-02 -9.76383686e-04  1.02337468e-02]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.18081896 -0.96290774 -0.20028253  0.82438136  0.0373283   0.5648025
 -0.53637654 -0.26723617  0.80055294 -0.0934183   0.09606361  0.01134877]",,,,,
