,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.06554442  0.89557455  0.44005699 -0.90167841 -0.24205343  0.35831019
  0.42741079 -0.37330465  0.82338548 -0.00399162 -0.00161856 -0.0154741 ]",,,,,
1,,"[-0.29768863 -0.83425157 -0.46411811 -0.88426024  0.42419043 -0.1953106
  0.35981263  0.35225945 -0.86397216  0.00284014  0.00675505 -0.00837432]",,,,
2,,,"[ 0.46502823  0.16064386 -0.87059877  0.01205178 -0.98445617 -0.17521555
 -0.88521377  0.0709879  -0.45973587  0.          0.          0.        ]",,,
3,,,,"[-0.19325651 -0.1153885   0.97433931  0.0205303  -0.99331826 -0.11356403
  0.98093328 -0.00194352  0.19433451 -0.00107015 -0.00293517  0.00678036]",,
4,,,,,"[-0.18111308 -0.19707075 -0.96351496 -0.27003279  0.95202783 -0.14396284
  0.94566392  0.23410708 -0.22564026  0.          0.          0.        ]",
5,,,,,,"[-0.73928281  0.15326745 -0.65572079 -0.01940438 -0.97819788 -0.20676573
 -0.67311524 -0.14013452  0.7261392  -0.00447494 -0.00690573 -0.0042936 ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.06567221  0.89552559  0.44013736 -0.90173129 -0.24213778  0.35811977
  0.42727937 -0.37336712  0.82342535 -0.00214479  0.00419253 -0.01540984]",,,,,
1,,"[-0.29778095 -0.83419723 -0.46415668 -0.88423363  0.42427738 -0.19524234
  0.35980179  0.3522835  -0.86396696  0.00159804  0.00793368 -0.01559237]",,,,
2,,,"[ 0.46507702  0.1607001  -0.87056232  0.01192325 -0.98443371 -0.17535032
 -0.88518987  0.07117147 -0.45975346  0.00517473 -0.00168282  0.00251196]",,,
3,,,,"[-0.19314734 -0.11534593  0.97436612  0.02056693 -0.99332352 -0.11351316
  0.98095414 -0.00188505  0.1942302  -0.00684436 -0.00413245  0.00853515]",,
4,,,,,"[-0.18153998 -0.19705267 -0.96343838 -0.26960868  0.95215119 -0.14394194
  0.94570314  0.23362013 -0.22598062  0.00662667 -0.00489283 -0.00472677]",
5,,,,,,"[-0.73928281  0.15326745 -0.65572079 -0.01940438 -0.97819788 -0.20676573
 -0.67311524 -0.14013452  0.7261392   0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-6.57347555e-02  8.95581773e-01  4.40013745e-01 -9.01760265e-01
 -2.42111257e-01  3.58064811e-01  4.27208653e-01 -3.73249610e-01
  8.23515315e-01  3.88476765e-04  8.74847174e-03 -1.15758255e-02]",,,,,
1,,"[-0.29769239 -0.83415095 -0.46429672 -0.88421933  0.42427437 -0.19531368
  0.35991029  0.35239674 -0.86387564 -0.00494352  0.01564032 -0.00596265]",,,,
2,,,"[ 0.46503696  0.16073541 -0.87057718  0.01181077 -0.98441815 -0.17544502
 -0.88521241  0.07130622 -0.45968912  0.00734345  0.002491   -0.00251392]",,,
3,,,,"[-0.19297939 -0.11531369  0.97440325  0.02065651 -0.99332754 -0.11346224
  0.98098535 -0.0017681   0.19407373  0.          0.          0.        ]",,
4,,,,,"[-0.18174006 -0.19705442 -0.96340012 -0.26944895  0.95219775 -0.14393298
  0.94571005  0.23342877 -0.22614858  0.01332524 -0.00470954 -0.0057582 ]",
5,,,,,,"[-0.73921281  0.15339715 -0.65576916 -0.01943018 -0.97816678 -0.20690967
 -0.67319117 -0.14020862  0.72605448 -0.00531345  0.00445723  0.00149678]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.06573298  0.89571698  0.43973882 -0.90179056 -0.24197355  0.35808175
  0.42714508 -0.37301454  0.8236548  -0.00245643  0.0120967  -0.01225569]",,,,,
1,,"[-2.97463651e-01 -8.34248227e-01 -4.64268501e-01 -8.84256294e-01
  4.24102987e-01 -1.95518409e-01  3.60008542e-01  3.52372726e-01
 -8.63844468e-01 -6.94206404e-03  1.81419253e-02 -6.49313442e-05]",,,,
2,,,"[ 4.65036962e-01  1.60735411e-01 -8.70577182e-01  1.18107692e-02
 -9.84418152e-01 -1.75445021e-01 -8.85212408e-01  7.13062214e-02
 -4.59689115e-01  2.75972974e-03  6.08086528e-04 -4.21368610e-03]",,,
3,,,,"[-1.92920957e-01 -1.15324066e-01  9.74413635e-01  2.07095272e-02
 -9.93326507e-01 -1.13462234e-01  9.80995763e-01 -1.70959380e-03
  1.94021740e-01 -5.19467704e-03  8.24451388e-04 -1.52586005e-03]",,
4,,,,,"[-0.18204779 -0.19713149 -0.96332645 -0.26923639  0.95225001 -0.14398503
  0.9457116   0.23315038 -0.22642998  0.00629855 -0.00663078 -0.0106903 ]",
5,,,,,,"[-0.73917782  0.153462   -0.65579335 -0.01944307 -0.97815123 -0.20698164
 -0.67322914 -0.14024567  0.72601211 -0.00215485  0.00783455 -0.0013317 ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.0655418   0.89586043  0.43947502 -0.90180461 -0.2417084   0.35822537
  0.42714476 -0.37284186  0.82373314 -0.00929001  0.00684553 -0.01165317]",,,,,
