,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.67523114 -0.73440502 -0.06864346  0.44374877 -0.33012307 -0.83312999
  0.5891941  -0.59301587  0.54880089 -0.01754906  0.01216984 -0.01035371]",,,,,
1,,"[ 0.1245186   0.07574597 -0.98932173  0.68517424  0.71461112  0.14095088
  0.71765674 -0.69540883  0.03708321  0.00247278 -0.00427437 -0.00470312]",,,,
2,,,"[ 9.38271938e-01  5.66407297e-03  3.45852118e-01  1.30636010e-01
 -9.31618073e-01 -3.39148849e-01  3.20281130e-01  3.63394589e-01
 -8.74851025e-01 -6.50105067e-04  6.37608767e-03 -6.93164824e-04]",,,
3,,,,"[ 9.55554429e-01 -2.59447006e-02 -2.93670899e-01 -8.47786151e-02
 -9.78226764e-01 -1.89432356e-01 -2.82362021e-01  2.05909940e-01
 -9.36948465e-01  4.55356529e-03 -2.80320644e-04 -4.02360316e-03]",,
4,,,,,"[-5.40792176e-01 -7.00330102e-02 -8.38235736e-01 -3.54623599e-01
  9.22620162e-01  1.51704112e-01  7.62748893e-01  3.79298579e-01
 -5.23781122e-01 -5.76553866e-05  5.99175645e-03 -4.79518855e-03]",
5,,,,,,"[ 0.90366217 -0.06711961  0.42295349 -0.17128485 -0.96185032  0.21332045
  0.39249993 -0.26521515 -0.88068432  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.67518537 -0.73445612 -0.06854809  0.44382148 -0.33025601 -0.83303865
  0.58919193 -0.59287866  0.54895149 -0.01126975  0.01071179 -0.0097904 ]",,,,,
1,,"[ 0.12455318  0.07562394 -0.98932678  0.68514283  0.71465418  0.14088536
  0.71768082 -0.69537789  0.03719925  0.          0.          0.        ]",,,,
2,,,"[ 9.38325269e-01  5.77577173e-03  3.45705536e-01  1.30692988e-01
 -9.31603412e-01 -3.39166654e-01  3.20101578e-01  3.63429933e-01
 -8.74901862e-01  6.79864897e-05  6.16651773e-03  1.82455138e-03]",,,
3,,,,"[ 0.95555927 -0.02584783 -0.29366368 -0.08470535 -0.97821552 -0.18952369
 -0.28236762  0.205976   -0.93693235  0.          0.          0.        ]",,
4,,,,,"[-0.54080528 -0.06983773 -0.83824365 -0.35444754  0.92267118  0.1518053
  0.76282152  0.37921049 -0.52373926  0.00221351  0.00150734 -0.00434857]",
5,,,,,,"[ 0.90363867 -0.06709071  0.42300827 -0.17139112 -0.96177182  0.21358845
  0.39250763 -0.26550665 -0.88059296  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.67515725 -0.73449333 -0.06842584  0.44382143 -0.33036493 -0.83299546
  0.58922414 -0.59277184  0.54903226 -0.0083319   0.0094111  -0.0066448 ]",,,,,
