,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02524519  0.76419099 -0.64449578 -0.95247647  0.17738361  0.24763607
  0.30356424  0.62011869  0.72339585  0.00541482 -0.04036039 -0.02012205]",,,,,
1,,"[ 0.05191677  0.15640602  0.98632746  0.99403025  0.08681162 -0.06608833
 -0.09596133  0.9838704  -0.15096536 -0.04289658 -0.01007128 -0.01587083]",,,,
2,,,"[-0.49152297 -0.1000727  -0.86509566  0.23937059 -0.97063836 -0.02372194
 -0.83732118 -0.21873835  0.50104563  0.00865915  0.00495821 -0.00153058]",,,
3,,,,"[ 0.11958793  0.34488681 -0.93099505  0.16426405 -0.93167398 -0.32403832
 -0.97914044 -0.11417796 -0.16806944 -0.00369193 -0.00130296 -0.01232712]",,
4,,,,,"[-0.46895196  0.03619209 -0.88248193 -0.16363661  0.97830165  0.1270785
  0.86793276  0.20400005 -0.45285412 -0.03428327  0.0162676   0.02573973]",
5,,,,,,"[ 0.96228444 -0.1592852  -0.22053768 -0.21112252 -0.94850792 -0.23613473
 -0.17156901  0.27378925 -0.94636311 -0.028567   -0.00317073  0.01368665]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02788958  0.7647667  -0.64370329 -0.95250595  0.17501667  0.24920166
  0.30323992  0.6200814   0.7235638   0.02732793  0.01545298 -0.03017962]",,,,,
1,,"[ 0.05059554  0.15460182  0.98668044  0.99408384  0.0872785  -0.06465069
 -0.09611107  0.98411415 -0.14927124 -0.0303202  -0.0210675  -0.02147395]",,,,
2,,,"[-0.4915572  -0.10014572 -0.86506782  0.23937677 -0.97063857 -0.02365372
 -0.83729938 -0.21870429  0.50109696  0.01203482  0.00685614 -0.00178029]",,,
3,,,,"[ 0.11896444  0.34508538 -0.93100129  0.16397603 -0.93161296 -0.3243591
 -0.97926461 -0.11407473 -0.1674144   0.00621337 -0.00212038 -0.00364935]",,
4,,,,,"[-0.46800996  0.03637517 -0.8829741  -0.16399569  0.97822273  0.12722304
  0.86837309  0.20434563 -0.4518526  -0.02870212  0.01529795  0.0330869 ]",
5,,,,,,"[ 0.96237097 -0.15932068 -0.22013415 -0.21116396 -0.94833131 -0.23680687
 -0.17103187  0.27438046 -0.94628931 -0.00780572  0.00310099  0.01285334]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02939603  0.76551067 -0.64275123 -0.95229227  0.17396838  0.25074752
  0.30376827  0.61945807  0.72387602  0.05954834  0.02565241 -0.01324234]",,,,,
1,,"[ 4.97108925e-02  1.52126064e-01  9.87110175e-01  9.94129249e-01
  8.75631489e-02 -6.35589591e-02 -9.61034541e-02  9.84474664e-01
 -1.46880131e-01 -1.62458140e-02  4.22716141e-04  1.50889587e-02]",,,,
2,,,"[-0.49106194 -0.10028893 -0.86533232  0.23940263 -0.97063905 -0.02336349
 -0.8375824  -0.21863578  0.5006536   0.00863702  0.00099963  0.00238549]",,,
3,,,,"[ 0.11889433  0.3451842  -0.93097362  0.16392166 -0.93158204 -0.32447545
 -0.97928224 -0.11402848 -0.16734287  0.00549594 -0.00346982 -0.00545999]",,
4,,,,,"[-0.46681376  0.03706871 -0.8835783  -0.16455455  0.97803155  0.12796908
  0.8689111   0.20513458 -0.45045876 -0.02023797 -0.00447994  0.02530729]",
5,,,,,,"[ 0.96249027 -0.15931158 -0.21961854 -0.21101556 -0.94835331 -0.23685034
 -0.170543    0.27430908 -0.94639805 -0.00229485 -0.00606191  0.00718892]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02979641  0.76526426 -0.64302612 -0.95211669  0.17410376  0.2513196
  0.30427914  0.6197244   0.72343336  0.07222284  0.01135397 -0.01260547]",,,,,
1,,"[ 0.04928301  0.15146602  0.98723305  0.99415115  0.08766161 -0.06307774
 -0.09609651  0.9845676  -0.14625984 -0.01679622  0.00684464  0.0238996 ]",,,,
2,,,"[-0.49070332 -0.1004153  -0.86552123  0.23938683 -0.97064925 -0.02310732
 -0.83779722 -0.21853322  0.50033893  0.00770524  0.00526613  0.00542286]",,,
3,,,,"[ 1.19097282e-01  3.45480003e-01 -9.30838007e-01  1.63987282e-01
 -9.31479632e-01 -3.24736578e-01 -9.79246649e-01 -1.13970353e-01
 -1.67591010e-01 -4.23884019e-04 -3.36474157e-03 -1.08631710e-02]",,
4,,,,,"[-0.46637587  0.03779772 -0.88377879 -0.16510735  0.97780985  0.1289475
  0.86904153  0.20605637 -0.44978624 -0.01198701 -0.00205249  0.02423666]",
5,,,,,,"[ 9.62694311e-01 -1.59344402e-01 -2.18698487e-01 -2.10755269e-01
 -9.48453230e-01 -2.36682923e-01 -1.69711176e-01  2.73945161e-01
 -9.46653202e-01  7.69250561e-04 -6.57033920e-03 -5.11117373e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02982381  0.76346406 -0.64516124 -0.95180513  0.17541931  0.25158487
  0.30524972  0.62157106  0.72143745  0.03664837 -0.01052129 -0.01020461]",,,,,
1,,"[ 0.04836406  0.15206892  0.98718581  0.99419693  0.08775189 -0.06222502
 -0.09608985  0.98446662 -0.14694236 -0.03749393 -0.02058107  0.02103608]",,,,
2,,,"[-0.49070332 -0.1004153  -0.86552123  0.23938683 -0.97064925 -0.02310732
 -0.83779722 -0.21853322  0.50033893  0.00770524  0.00526613  0.00542286]",,,
3,,,,"[ 0.11995317  0.34572451 -0.93063724  0.16406111 -0.9314203  -0.32486902
 -0.97912974 -0.11371235 -0.16844664  0.00411699  0.00619459 -0.00195686]",,
4,,,,,"[-0.46642331  0.03812345 -0.88373955 -0.16535684  0.97770135  0.1294495
  0.86896842  0.20651068 -0.44971872 -0.00502064 -0.00146616  0.02534747]",
5,,,,,,"[ 0.96272804 -0.15925938 -0.2186119  -0.21074501 -0.94831829 -0.23723096
 -0.16953245  0.27446026 -0.94653573  0.01835556  0.00886214  0.0038335 ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02893071  0.76083254 -0.64830306 -0.95169886  0.17736503  0.25062107
  0.30566696  0.62423993  0.71895217  0.03870596 -0.01593274 -0.0052244 ]",,,,,
1,,"[ 4.68255827e-02  1.54872799e-01  9.86824073e-01  9.94261564e-01
  8.78986035e-02 -6.09733421e-02 -9.61835560e-02  9.84016373e-01
 -1.49868157e-01 -6.50659204e-02 -3.23848128e-02  6.83332793e-04]",,,,
2,,,"[-0.49073733 -0.10046012 -0.86549664  0.23905485 -0.97073659 -0.02286876
 -0.83787197 -0.21812374  0.50039237 -0.00668574  0.00693387  0.00452708]",,,
3,,,,"[ 0.12039562  0.34577258 -0.93056231  0.16411359 -0.93141552 -0.32485669
 -0.97906671 -0.1136066  -0.16888432  0.001736    0.00603139  0.01344432]",,
4,,,,,"[-0.46642331  0.03812345 -0.88373955 -0.16535684  0.97770135  0.1294495
  0.86896842  0.20651068 -0.44971872 -0.00502064 -0.00146616  0.02534747]",
5,,,,,,"[ 0.96271097 -0.15920576 -0.21872609 -0.2107877  -0.9482211  -0.23758189
 -0.1695763   0.27482746 -0.94642147  0.01233769  0.00907135  0.00558609]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02850448  0.75939509 -0.65000489 -0.95169739  0.17825806  0.2499919
  0.3057112   0.62573395  0.71763335  0.01574594  0.00158411 -0.00420746]",,,,,
1,,"[ 4.68255827e-02  1.54872799e-01  9.86824073e-01  9.94261564e-01
  8.78986035e-02 -6.09733421e-02 -9.61835560e-02  9.84016373e-01
 -1.49868157e-01 -6.50659204e-02 -3.23848128e-02  6.83332793e-04]",,,,
2,,,"[-0.49065171 -0.10036394 -0.86555636  0.23877314 -0.97080796 -0.02278343
 -0.83800246 -0.21785035  0.50029296  0.          0.          0.        ]",,,
3,,,,"[ 0.1208194   0.34601822 -0.93041609  0.16428348 -0.93132723 -0.32502399
 -0.97898603 -0.11358278 -0.1693675   0.00157462  0.00205588  0.01189829]",,
4,,,,,"[-0.46774373  0.03854136 -0.88302342 -0.16611448  0.97741277  0.13065318
  0.86811392  0.20779518 -0.45077641 -0.00349662 -0.02393347  0.00387936]",
5,,,,,,"[ 0.96267764 -0.15923687 -0.2188501  -0.21091373 -0.94810916 -0.23791609
 -0.16960881  0.275195   -0.94630873 -0.00193533 -0.0060131  -0.00225711]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02788485  0.75728405 -0.65248987 -0.95168158  0.1795861   0.24909997
  0.3058175   0.62790882  0.71568575 -0.03553474  0.01596391 -0.00596836]",,,,,
1,,"[ 4.68255827e-02  1.54872799e-01  9.86824073e-01  9.94261564e-01
  8.78986035e-02 -6.09733421e-02 -9.61835560e-02  9.84016373e-01
 -1.49868157e-01 -6.50659204e-02 -3.23848128e-02  6.83332793e-04]",,,,
2,,,"[-4.90754169e-01 -1.00394316e-01 -8.65494773e-01  2.38608907e-01
 -9.70850756e-01 -2.26811585e-02 -8.37989267e-01 -2.17645645e-01
  5.00404157e-01  3.43021122e-04 -5.73915197e-03  3.56211234e-03]",,,
3,,,,"[ 0.12131316  0.34631245 -0.93024226  0.1643527  -0.93123617 -0.32524923
 -0.97891325 -0.11343085 -0.16988846 -0.01071512 -0.0099349   0.00325221]",,
4,,,,,"[-0.4681812   0.03841447 -0.88279706 -0.16615377  0.97740664  0.13064908
  0.86787052  0.20784751 -0.4512207  -0.00772207 -0.02205151 -0.00232143]",
5,,,,,,"[ 9.62660967e-01 -1.59197255e-01 -2.18952270e-01 -2.11019513e-01
 -9.47923854e-01 -2.38560548e-01 -1.69571895e-01  2.75856129e-01
 -9.46123022e-01 -6.15796680e-03 -1.80149078e-03  4.48106555e-04]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02656229  0.75702893 -0.65284116 -0.95163438  0.18081486  0.24839071
  0.30608233  0.62786395  0.71561194  0.03923369 -0.02176619 -0.00794749]",,,,,
1,,"[ 4.68255827e-02  1.54872799e-01  9.86824073e-01  9.94261564e-01
  8.78986035e-02 -6.09733421e-02 -9.61835560e-02  9.84016373e-01
 -1.49868157e-01 -6.50659204e-02 -3.23848128e-02  6.83332793e-04]",,,,
2,,,"[-4.90497880e-01 -1.00511180e-01 -8.65626504e-01  2.38467458e-01
 -9.70892269e-01 -2.23910188e-02 -8.38179583e-01 -2.17406506e-01
  5.00189332e-01  6.46680314e-03  8.71866848e-03 -2.31102807e-04]",,,
3,,,,"[ 1.21615139e-01  3.46459352e-01 -9.30148189e-01  1.64400474e-01
 -9.31191647e-01 -3.25352968e-01 -9.78867826e-01 -1.13348962e-01
 -1.70205063e-01 -1.42239733e-04  2.95019126e-03 -6.13880903e-03]",,
4,,,,,"[-0.4681812   0.03841447 -0.88279706 -0.16615377  0.97740664  0.13064908
  0.86787052  0.20784751 -0.4512207  -0.00772207 -0.02205151 -0.00232143]",
5,,,,,,"[ 0.96266137 -0.15919433 -0.21895262 -0.2110957  -0.94779569 -0.2390012
 -0.16947475  0.27629718 -0.94601153 -0.00669977 -0.00458097  0.00293641]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02585321  0.75690729 -0.65301079 -0.95163981  0.18140296  0.24794101
  0.30612647  0.62784108  0.71561317  0.04798587 -0.02282631 -0.00296195]",,,,,
1,,"[ 0.04293512  0.15254547  0.98736341  0.99435808  0.08942461 -0.05705522
 -0.09699812  0.98424243 -0.14784538  0.00683397 -0.02984011 -0.01000934]",,,,
2,,,"[-0.48959182 -0.10059819 -0.86612934  0.23835619 -0.97092953 -0.02196379
 -0.83874094 -0.21720057  0.49933717  0.00600776  0.00330156 -0.00553216]",,,
3,,,,"[ 0.12180656  0.34660655 -0.93006829  0.16442212 -0.93114537 -0.32547438
 -0.97884038 -0.1132789  -0.17040936  0.00476492  0.00363541 -0.0112399 ]",,
4,,,,,"[-0.46989906  0.03820833 -0.88189276 -0.16529466  0.97758181  0.13042808
  0.86710576  0.20706021 -0.45304914  0.          0.          0.        ]",
5,,,,,,"[ 0.96274777 -0.15930173 -0.21849414 -0.2112287  -0.9475409  -0.23989206
 -0.16881696  0.27710779 -0.94589198 -0.00539882  0.00933349  0.01089842]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02501911  0.75575427 -0.65437717 -0.95173516  0.18229173  0.24692079
  0.30589898  0.62897152  0.71471717  0.04383021 -0.00851279 -0.02130133]",,,,,
1,,"[ 0.04293512  0.15254547  0.98736341  0.99435808  0.08942461 -0.05705522
 -0.09699812  0.98424243 -0.14784538  0.00683397 -0.02984011 -0.01000934]",,,,
2,,,"[-0.48914681 -0.10069727 -0.86636901  0.23835725 -0.9709344  -0.0217243
 -0.83900001 -0.21713172  0.49893159 -0.00853362 -0.00449538  0.00419823]",,,
3,,,,"[ 0.12202752  0.34660574 -0.93003963  0.16447449 -0.93114856 -0.32543885
 -0.97880407 -0.1132553  -0.17063353 -0.00210592 -0.00397098  0.00786445]",,
4,,,,,"[-4.70326841e-01  3.83675906e-02 -8.81657858e-01 -1.64813070e-01
  9.77658053e-01  1.30466024e-01  8.66965572e-01  2.06670412e-01
 -4.53495343e-01 -3.45249195e-03  6.36875629e-04 -7.71165499e-03]",
5,,,,,,"[ 0.96290263 -0.15970053 -0.21751842 -0.2113535  -0.94749399 -0.2399684
 -0.16777432  0.27703948 -0.94609772  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02559322  0.7539349  -0.65645044 -0.95197568  0.18203471  0.24618224
  0.30510216  0.63122544  0.71306881  0.03875899 -0.01111639  0.00160217]",,,,,
1,,"[ 0.04093441  0.1504974   0.9877625   0.99441106  0.09015243 -0.05494564
 -0.0973183   0.9844912  -0.14596589 -0.00258964 -0.0085808   0.01880183]",,,,
2,,,"[-0.48846214 -0.10075549 -0.86674856  0.2382251  -0.97097457 -0.02138212
 -0.83943644 -0.21692562  0.4982868  -0.01440851 -0.00458074  0.00507553]",,,
3,,,,"[ 0.12213799  0.34665446 -0.93000703  0.16444898 -0.93113906 -0.32547928
 -0.97879463 -0.1131853  -0.17073451 -0.00289986 -0.00251663  0.0221243 ]",,
4,,,,,"[-4.71058108e-01  3.88986346e-02 -8.81244075e-01 -1.63834441e-01
  9.77786500e-01  1.30735747e-01  8.66754002e-01  2.05962268e-01
 -4.54221322e-01 -2.00855453e-03  5.47581911e-03 -5.68575982e-04]",
5,,,,,,"[ 0.96297119 -0.15991529 -0.21705666 -0.21140461 -0.94752152 -0.2398147
 -0.16731582  0.27682143 -0.94624276 -0.00317668 -0.00392354 -0.00300905]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.02666769  0.75301673 -0.6574606  -0.95214111  0.18120085  0.24615726
  0.30449292  0.63255979  0.71214613  0.03809383 -0.03690451 -0.00703209]",,,,,
1,,"[ 0.04082929  0.15122392  0.98765593  0.99440179  0.09026535 -0.05492901
 -0.09745767  0.98436957 -0.14669185  0.00744997 -0.02288568  0.0054407 ]",,,,
