,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.57667708 -0.30129169  0.7593858  -0.59364408  0.48405626  0.64286559
 -0.56127549 -0.82153075  0.10028412 -0.00519766 -0.01552302 -0.01282507]",,,,,
1,,"[ 0.2136376   0.69500639 -0.68653114  0.63485601  0.43536156  0.63829312
  0.74250706 -0.57221183 -0.34821938 -0.00878595 -0.00240892  0.00169996]",,,,
2,,,"[ 0.47461811 -0.09349297  0.87521239 -0.11784838  0.97864017  0.16844934
 -0.87226683 -0.18309147  0.45346235 -0.00601121 -0.0050385  -0.00138555]",,,
3,,,,"[ 0.99080999  0.09005715  0.10092211  0.1185674  -0.93734288 -0.32761213
  0.06509482  0.33656745 -0.93940653  0.00285068  0.00526357  0.00278226]",,
4,,,,,"[-0.40713945 -0.12455496  0.90483356  0.15696972 -0.9854607  -0.06502351
  0.89977676  0.11555783  0.42077104  0.          0.          0.        ]",
5,,,,,,"[ 0.95982258 -0.09430096 -0.26428761 -0.06992621 -0.99250865  0.10018539
 -0.27175529 -0.07767957 -0.95922632  0.00265806  0.00387818  0.00525474]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.57662973 -0.30114182  0.75948123 -0.59358852  0.48432308  0.64271596
 -0.56138294 -0.82142848  0.10052076 -0.00171953 -0.01596051 -0.00532844]",,,,,
1,,"[ 2.13623915e-01  6.95176894e-01 -6.86362771e-01  6.34733744e-01
  4.35306998e-01  6.38451918e-01  7.42615541e-01 -5.72046207e-01
 -3.48260248e-01 -5.02768299e-03 -5.61606837e-03 -4.42515826e-04]",,,,
2,,,"[ 0.47448603 -0.09358728  0.87527393 -0.11786777  0.97862328  0.16853387
 -0.87233607 -0.18313355  0.45331215 -0.0055153  -0.00429618  0.00142699]",,,
3,,,,"[ 0.99083276  0.09004749  0.10070695  0.11849189 -0.93731906 -0.32770696
  0.06488539  0.33663575 -0.93939633  0.          0.          0.        ]",,
4,,,,,"[-0.40696803 -0.12447977  0.90492088  0.156883   -0.98547548 -0.06500613
  0.89986929  0.11551128  0.42058578  0.          0.          0.        ]",
5,,,,,,"[ 9.59813499e-01 -9.42547120e-02 -2.64337077e-01 -6.96272250e-02
 -9.92441044e-01  1.01056982e-01 -2.71864103e-01 -7.85907963e-02
 -9.59121000e-01 -2.18742993e-04 -1.75827742e-03  5.80420066e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.57662973 -0.30108868  0.75950228 -0.59354923  0.48442553  0.642675
 -0.56142444 -0.82138751  0.10062321  0.00590229 -0.01270097 -0.00352202]",,,,,
1,,"[ 0.21367111  0.69526873 -0.68625508  0.634679    0.4352299   0.63855891
  0.74264878 -0.57199328 -0.3482764  -0.00200004 -0.01177108 -0.0064479 ]",,,,
2,,,"[ 0.47431029 -0.0936717   0.87536012 -0.11780361  0.97862759  0.16855369
 -0.87244027 -0.18306733  0.45313827  0.          0.          0.        ]",,,
3,,,,"[ 0.99085643  0.0899919   0.1005236   0.11837884 -0.93732517 -0.32773171
  0.0647301   0.33663494 -0.93940781  0.          0.          0.        ]",,
4,,,,,"[-0.40687503 -0.12450319  0.90495938  0.15685044 -0.98547699 -0.06505982
  0.89991692  0.11547207  0.42049454 -0.00314624  0.00138581 -0.00499413]",
5,,,,,,"[ 0.95979625 -0.09412295 -0.26444664 -0.0693293  -0.99240707  0.10159436
 -0.27200111 -0.07917599 -0.95903406 -0.00239385 -0.00466323  0.00599692]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.57653501 -0.30097501  0.75961929 -0.59357565  0.48460029  0.64251893
 -0.56149388 -0.82132616  0.10073759 -0.00168625 -0.00166416  0.00517045]",,,,,
1,,"[ 0.21367111  0.69526873 -0.68625508  0.634679    0.4352299   0.63855891
  0.74264878 -0.57199328 -0.3482764  -0.00726597 -0.01194543 -0.00453106]",,,,
2,,,"[ 0.4741333  -0.09368222  0.87545482 -0.11781269  0.97863081  0.16852863
 -0.87253519 -0.18304472  0.4529645  -0.00220864 -0.00414872 -0.00226174]",,,
3,,,,"[ 0.99086368  0.09000651  0.10043902  0.11836456 -0.93732402 -0.32773998
  0.06464518  0.33663406 -0.93941391  0.          0.          0.        ]",,
4,,,,,"[-0.40657161 -0.12447093  0.90510018  0.15663588 -0.98550403 -0.06516727
  0.90009142  0.115276    0.42017475  0.          0.          0.        ]",
5,,,,,,"[ 0.95982679 -0.0940473  -0.26436271 -0.06923516 -0.99240536  0.10167579
 -0.27191732 -0.07928795 -0.95904862 -0.0028891  -0.00778258  0.00369956]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 5.76539159e-01 -3.01235486e-01  7.59512829e-01 -5.93498354e-01
  4.84487838e-01  6.42675025e-01 -5.61571242e-01 -8.21296941e-01
  1.00543447e-01 -7.64542073e-03 -5.41377021e-03 -9.77288000e-05]",,,,,
1,,"[ 0.21361934  0.69514393 -0.68639751  0.63459583  0.43544716  0.63849338
  0.74273465 -0.57197953 -0.34811551 -0.00515066 -0.0033288   0.00438929]",,,,
2,,,"[ 0.47404479 -0.09370725  0.87550011 -0.11783693  0.97862448  0.16854845
 -0.87258005 -0.18306577  0.45286966  0.          0.          0.        ]",,,
3,,,,"[ 0.99086273  0.09005247  0.10040721  0.11840208 -0.93729461 -0.32781021
  0.06459103  0.33670334 -0.93939269  0.          0.          0.        ]",,
4,,,,,"[-4.06243330e-01 -1.24381874e-01  9.05259935e-01  1.56258688e-01
 -9.85555803e-01 -6.52919962e-02  9.00305294e-01  1.14930291e-01
  4.19811176e-01 -4.98358300e-03  7.58290291e-04 -7.18883355e-04]",
5,,,,,,"[ 0.95988071 -0.09398068 -0.26419055 -0.06913259 -0.99239486  0.10184665
 -0.27175301 -0.07949645 -0.95907781 -0.00242114 -0.00712508  0.00572411]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.57652611 -0.30140344  0.75945616 -0.5934611   0.48441634  0.6427634
 -0.56162409 -0.82127756  0.10040745 -0.00743152 -0.00633627 -0.00557921]",,,,,
1,,"[ 0.21361934  0.69509013 -0.68645201  0.63453761  0.43554204  0.63848654
  0.7427844  -0.57197269 -0.34802063  0.          0.          0.        ]",,,,
2,,,"[ 0.47391128 -0.09372755  0.87557024 -0.11792963  0.97860652  0.16858793
 -0.87264008 -0.1831514   0.45271941 -0.00466092 -0.00138557  0.00133281]",,,
3,,,,"[ 0.99087092  0.09002111  0.10035444  0.11835027 -0.93732287 -0.32774812
  0.06456027  0.33663306 -0.93942     0.          0.          0.        ]",,
4,,,,,"[-4.06086301e-01 -1.24276463e-01  9.05344849e-01  1.56059273e-01
 -9.85587380e-01 -6.52920052e-02  9.00410705e-01  1.14773270e-01
  4.19628009e-01 -1.41726108e-04  4.23920155e-03 -3.17537808e-03]",
5,,,,,,"[ 0.95988884 -0.09402209 -0.26414628 -0.06917686 -0.99239119  0.10185491
 -0.27171304 -0.07949658 -0.95908938  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 5.76585500e-01 -3.02228172e-01  7.59083139e-01 -5.93206287e-01
  4.84016859e-01  6.43299216e-01 -5.61832164e-01 -8.21209908e-01
  9.97934549e-02 -4.70019178e-03 -1.87715869e-02 -5.12670842e-04]",,,,,
1,,"[ 0.21359634  0.6953025  -0.68624401  0.63425608  0.43557761  0.63874192
  0.74303139 -0.57168736 -0.34796206  0.00233188 -0.00473577  0.00075618]",,,,
2,,,"[ 0.47355823 -0.09374333  0.87575956 -0.1177956   0.97864584  0.16845331
 -0.87284982 -0.18293307  0.45240324  0.          0.          0.        ]",,,
3,,,,"[ 0.99088634  0.09000063  0.10022047  0.1182866  -0.93732515 -0.32776448
  0.06444017  0.33663208 -0.93942856  0.          0.          0.        ]",,
4,,,,,"[-0.40559372 -0.12401564  0.90560135  0.1546822  -0.98577614 -0.06571714
  0.90087019  0.11342595  0.41900767  0.          0.          0.        ]",
5,,,,,,"[ 0.9598105  -0.09405274 -0.26441989 -0.06905584 -0.99235261  0.10231061
 -0.27202038 -0.07993906 -0.95896535  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 5.76572338e-01 -3.02342976e-01  7.59047481e-01 -5.93129767e-01
  4.84047706e-01  6.43346652e-01 -5.61926537e-01 -8.21149536e-01
  9.97598985e-02 -6.38377247e-03 -1.49989715e-02  6.18893537e-04]",,,,,
1,,"[ 0.21359156  0.6953505  -0.68619704  0.63420567  0.43557513  0.6387938
  0.74307596 -0.57163102 -0.34796006  0.00340217 -0.00431395  0.00150986]",,,,
2,,,"[ 0.47324886 -0.09380842  0.87591979 -0.1177846   0.97864809  0.1684479
 -0.87301906 -0.18288764  0.45209491  0.          0.          0.        ]",,,
3,,,,"[ 0.99090174  0.08998389  0.10008313  0.11822052 -0.9373523  -0.32771052
  0.0643245   0.33656081 -0.93946197  0.          0.          0.        ]",,
4,,,,,"[-0.40554371 -0.12394835  0.90563304  0.15431123 -0.98582731 -0.06582326
  0.90095641  0.11305513  0.41892258  0.          0.          0.        ]",
5,,,,,,"[ 9.59809467e-01 -9.39927600e-02 -2.64444979e-01 -6.88578044e-02
 -9.92317642e-01  1.02782455e-01 -2.72074234e-01 -8.04424723e-02
 -9.58908001e-01  3.55993537e-03  9.37521458e-04  4.28693602e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 5.76464516e-01 -3.02397263e-01  7.59107687e-01 -5.93118857e-01
  4.84151141e-01  6.43278788e-01 -5.62048579e-01 -8.21068495e-01
  9.97384379e-02  2.23765848e-04 -6.93774177e-03  6.25463296e-03]",,,,,
1,,"[ 2.13535175e-01  6.95408158e-01 -6.86156125e-01  6.34217702e-01
  4.35552580e-01  6.38797198e-01  7.43081853e-01 -5.71578033e-01
 -3.48034368e-01  6.21568738e-03 -2.92652822e-03  5.92434197e-04]",,,,
2,,,"[ 0.47316028 -0.09383346  0.87596497 -0.11780885  0.97864177  0.16846771
 -0.87306381 -0.18290866  0.452       0.00136745 -0.00352412  0.0047162 ]",,,
3,,,,"[ 0.99091713  0.08996338  0.09994916  0.11815684 -0.93735461 -0.32772687
  0.0642044   0.33655984 -0.93947053  0.00169047  0.00760245  0.0009916 ]",,
4,,,,,"[-0.40549711 -0.12371804  0.90568537  0.15359768 -0.98593286 -0.0659106
  0.90109927  0.11238461  0.41879568  0.          0.          0.        ]",
5,,,,,,"[ 0.95982473 -0.09397146 -0.26439718 -0.06879374 -0.99230546  0.10294526
 -0.27203663 -0.08062054 -0.95890398  0.00193319 -0.00151706  0.00770114]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.57645132 -0.30251202  0.75907197 -0.59304227  0.48418208  0.64332609
 -0.5621429  -0.82100796  0.09970499 -0.00380596 -0.00410151  0.00778566]",,,,,
1,,"[ 2.13478786e-01  6.95438919e-01 -6.86142471e-01  6.34200617e-01
  4.35577461e-01  6.38797177e-01  7.43112615e-01 -5.71521623e-01
 -3.48061244e-01  1.59952790e-04 -4.50038863e-03  2.78017530e-03]",,,,
2,,,"[ 4.73116595e-01 -9.38630593e-02  8.75985384e-01 -1.17764597e-01
  9.78647103e-01  1.68467642e-01 -8.73093446e-01 -1.82864903e-01
  4.51960439e-01 -8.92895507e-04 -6.46495819e-03  1.61546352e-03]",,,
3,,,,"[ 0.99093249  0.08994662  0.09981181  0.11809076 -0.93738179 -0.3276729
  0.06408872  0.33648858 -0.93950394  0.          0.          0.        ]",,
4,,,,,"[-4.05489625e-01 -1.23468265e-01  9.05722800e-01  1.52979398e-01
 -9.86027884e-01 -6.59270074e-02  9.01207804e-01  1.11824210e-01
  4.18712140e-01 -7.19573465e-04 -4.40037251e-03  3.45118181e-03]",
5,,,,,,"[ 9.59839981e-01 -9.39721485e-02 -2.64341518e-01 -6.87070251e-02
 -9.92277257e-01  1.03270542e-01 -2.72004683e-01 -8.09610734e-02
 -9.58883923e-01 -5.02026174e-04 -4.55659628e-03  6.01981860e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.57643812 -0.30267993  0.75901505 -0.59300502  0.48411052  0.64341428
 -0.56219573 -0.82098827  0.09956905  0.00242721 -0.00621086  0.00510466]",,,,,
1,,"[ 0.21347879  0.69541203 -0.68616974  0.63417149  0.4356249   0.63879375
  0.74313748 -0.5715182  -0.34801381  0.          0.          0.        ]",,,,
2,,,"[ 0.4728957  -0.09394268  0.87609614 -0.11776881  0.9786398   0.16850709
 -0.87321256 -0.18286308  0.45173104 -0.00266697 -0.00296539  0.00307757]",,,
3,,,,"[ 0.99093346  0.08990064  0.09984364  0.11805325 -0.93741118 -0.32760266
  0.06414286  0.3364193  -0.93952517  0.          0.          0.        ]",,
4,,,,,"[-0.40547842 -0.12338153  0.90573944  0.1527038  -0.986068   -0.06596211
  0.90125939  0.11156364  0.41867044  0.0053509  -0.0087297   0.00259918]",
5,,,,,,"[ 0.95983998 -0.09399419 -0.26433369 -0.06868435 -0.99226193  0.1034332
 -0.27201041 -0.08112373 -0.9588686   0.00250837 -0.00255078  0.00459315]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.5764722  -0.30289133  0.75890488 -0.59294482  0.48397699  0.64357027
 -0.56222435 -0.82098909  0.09940144 -0.0027862  -0.0072583   0.0052186 ]",,,,,
1,,"[ 0.21353069  0.69540217 -0.68616348  0.63410885  0.43564509  0.6388421
  0.74317594 -0.57151472 -0.34793707  0.00127218 -0.00660223 -0.0040496 ]",,,,
2,,,"[ 0.47276339 -0.09403689  0.87615741 -0.11778826  0.97862294  0.16859143
 -0.87328155 -0.18290491  0.45158065  0.00404778 -0.00206363  0.0028284 ]",,,
3,,,,"[ 0.99093346  0.08990064  0.09984364  0.11805325 -0.93741118 -0.32760266
  0.06414286  0.3364193  -0.93952517  0.00176949  0.0055685   0.00377782]",,
