,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.2455577  -0.9439162  -0.22073416  0.79148595  0.06375737  0.60785273
 -0.55968863 -0.32397089  0.76275257 -0.09173066  0.00811243 -0.03780076]",,,,,
1,,"[ 1.88641476e-02  2.62367813e-01 -9.64783480e-01  7.68010862e-01
 -6.21637010e-01 -1.54034282e-01 -6.40158846e-01 -7.38058518e-01
 -2.13227904e-01  1.90848242e-02 -1.70826912e-04  3.39723527e-02]",,,,
2,,,"[ 4.54976864e-01  8.62259265e-02  8.86318829e-01 -1.51191593e-01
  9.88330625e-01 -1.85385339e-02 -8.77574544e-01 -1.25569361e-01
  4.62704204e-01 -7.59717962e-03  4.42266464e-04  2.54602591e-03]",,,
3,,,,"[-0.40128336 -0.20305881  0.89316213  0.15002186 -0.97651916 -0.15460748
  0.90358448  0.07195242  0.42232435  0.00161947  0.00855899 -0.01763195]",,
4,,,,,"[-0.33026895  0.10165881  0.9383964  -0.0655015  -0.99425481  0.08465681
  0.94161131 -0.03350686  0.3350304  -0.00644493 -0.00956815 -0.00801724]",
5,,,,,,"[ 0.37539264  0.0598918   0.92492882 -0.11888372 -0.98655608  0.11213263
  0.91920999 -0.15205275 -0.36322573 -0.00433881  0.00648707 -0.00133646]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.25166142 -0.94111234 -0.2257744   0.79456283  0.06771765  0.60339391
 -0.55257255 -0.33124291  0.76481482 -0.15998656  0.10658121  0.00505986]",,,,,
1,,"[ 0.01113753  0.25553161 -0.96673648  0.76794094 -0.62138357 -0.15539937
 -0.64042372 -0.74066582 -0.20315377  0.03558842  0.05190003  0.12363631]",,,,
2,,,"[ 0.45493822  0.08615427  0.88634564 -0.15118617  0.98833278 -0.01846765
 -0.87759552 -0.12560157  0.46265569 -0.00334523 -0.00533384 -0.00481038]",,,
3,,,,"[-4.01172465e-01 -2.03091828e-01  8.93204431e-01  1.50119674e-01
 -9.76504123e-01 -1.54607532e-01  9.03617469e-01  7.20632671e-02
  4.22234852e-01 -1.95863191e-04 -3.29720974e-03 -1.40215755e-02]",,
4,,,,,"[-3.29715847e-01  1.01593641e-01  9.38597933e-01 -6.48271779e-02
 -9.94282691e-01  8.48481008e-02  9.41851785e-01 -3.28708896e-02
  3.34416901e-01 -6.57744007e-04 -1.54964924e-02 -8.47799052e-03]",
5,,,,,,"[ 0.37624469  0.0596834   0.92459601 -0.11940509 -0.98647777  0.11226728
  0.91879395 -0.15264144 -0.36403049 -0.00933663 -0.00160813 -0.00578997]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.25417939 -0.94040676 -0.22589364  0.79553363  0.07046515  0.60179803
 -0.55001732 -0.33267064  0.76603602 -0.12304595  0.11383295  0.03232411]",,,,,
1,,"[ 0.00855682  0.25402271 -0.9671603   0.76796927 -0.62111255 -0.15633957
 -0.64042936 -0.74141171 -0.20039624  0.04519925  0.07698882  0.13895541]",,,,
2,,,"[ 4.54759593e-01  8.61941155e-02  8.86433418e-01 -1.51132245e-01
  9.88339129e-01 -1.85690017e-02 -8.77697371e-01 -1.25524252e-01
  4.62483412e-01 -1.30848363e-02 -2.54988670e-03 -5.60374465e-04]",,,
3,,,,"[-0.40120983 -0.20314074  0.89317663  0.15014755 -0.97649409 -0.15464473
  0.90359635  0.07206329  0.42228013 -0.00821343 -0.00890511 -0.01643387]",,
4,,,,,"[-0.32879039  0.10123133  0.93896171 -0.06400532 -0.99434101  0.08478954
  0.94223149 -0.03222056  0.33340912  0.00137828 -0.00114077 -0.01065417]",
5,,,,,,"[ 0.37658031  0.05972353  0.92445679 -0.11952319 -0.98644651  0.11241644
  0.9186411  -0.15282784 -0.36433797 -0.01027093 -0.00523829 -0.00993711]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.2578581  -0.93985245 -0.22402334  0.79668461  0.07564774  0.59964232
 -0.5466285  -0.33309856  0.76827248  0.00427703  0.02292895  0.03358075]",,,,,
1,,"[ 0.00619739  0.25457449 -0.96703318  0.76812942 -0.62039259 -0.15839772
 -0.64026443 -0.74182509 -0.19939079  0.03369119  0.06131303  0.00448723]",,,,
2,,,"[ 0.45463161  0.08614239  0.88650417 -0.15109993  0.98834445 -0.01854875
 -0.87776931 -0.12551786  0.46234873  0.00696371  0.00106418  0.00332887]",,,
3,,,,"[-0.40152504 -0.20315276  0.89303225  0.15024799 -0.97648835 -0.15458342
  0.90343964  0.07210719  0.42260782 -0.01140246  0.00679624 -0.01008157]",,
4,,,,,"[-0.32842467  0.10048005  0.93917024 -0.06339773 -0.99442798  0.084222
  0.94239998 -0.03188067  0.33296513  0.00599426  0.00807816 -0.00548869]",
5,,,,,,"[ 0.37706494  0.05990449  0.92424757 -0.11957128 -0.98640681  0.11271475
  0.91843608 -0.15301424 -0.36477667 -0.00650184 -0.00304073 -0.008912  ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 2.60467363e-01 -9.38398527e-01 -2.27079123e-01  7.98481515e-01
  7.71523343e-02  5.97055066e-01 -5.42755925e-01 -3.36831836e-01
  7.69389571e-01  2.40940750e-02 -2.77376175e-02 -8.42929352e-04]",,,,,
1,,"[ 0.00489409  0.25316755 -0.96741001  0.76857272 -0.61986148 -0.15832729
 -0.63974363 -0.74275012 -0.19761124  0.02675911  0.07672453 -0.06114562]",,,,
2,,,"[ 0.45436345  0.08615891  0.88664001 -0.1510618   0.98834875 -0.01862998
 -0.87791469 -0.12547265  0.46208487  0.00711829  0.00605309 -0.00664908]",,,
3,,,,"[-4.01635857e-01 -2.03030257e-01  8.93010236e-01  1.50240681e-01
 -9.76511615e-01 -1.54443202e-01  9.03391556e-01  7.21365363e-02
  4.22705556e-01 -6.87230937e-03  6.31368160e-03  5.84525988e-05]",,
4,,,,,"[-3.28331585e-01  9.98921734e-02  9.39265594e-01 -6.30659965e-02
 -9.94491594e-01  8.37200571e-02  9.42454764e-01 -3.17477802e-02
  3.32822869e-01 -2.87084957e-04  1.01240277e-02  3.61451600e-03]",
5,,,,,,"[ 0.37735376  0.05988164  0.9241311  -0.11955473 -0.98640627  0.11273514
  0.91831953 -0.15302528 -0.36506495 -0.0054026   0.00473887 -0.00231965]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.26162853 -0.93698169 -0.23155082  0.79989631  0.07624398  0.5952753
 -0.54010773 -0.34095764  0.76943584  0.00466321 -0.00860852 -0.02703858]",,,,,
1,,"[ 0.0040048   0.24993039 -0.96825547  0.76874568 -0.62001937 -0.1568626
 -0.63954197 -0.74371405 -0.19461588  0.04552708  0.06913269 -0.04957741]",,,,
2,,,"[ 4.54235415e-01  8.61505581e-02  8.86706414e-01 -1.50986519e-01
  9.88359299e-01 -1.86806827e-02 -8.77993880e-01 -1.25395288e-01
  4.61955369e-01 -1.74156390e-04 -3.36587429e-03 -1.77551433e-02]",,,
3,,,,"[-0.40152428 -0.20292823  0.89308365  0.15011181 -0.97653807 -0.15440167
  0.90346263  0.07206639  0.42256565  0.00186008  0.00635207 -0.00513525]",,
4,,,,,"[-3.28115485e-01  9.87741777e-02  9.39459228e-01 -6.19907568e-02
 -9.94625793e-01  8.29234721e-02  9.42601254e-01 -3.10293083e-02
  3.32475461e-01  2.81444518e-04  2.49868631e-03  9.79822502e-03]",
5,,,,,,"[ 0.37745002  0.05985937  0.92409325 -0.11953466 -0.98641045  0.11272052
  0.91828261 -0.15300754 -0.36516538 -0.00327229  0.00388473 -0.00596825]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[ 0.26394953 -0.93368647 -0.24199191  0.802606    0.073468    0.5919678
 -0.53493374 -0.35047376  0.76877434 -0.11372624  0.10663748 -0.01427257]",,,,,
1,,"[ 0.00273256  0.23992308 -0.970788    0.76884529 -0.62125858 -0.1513754
 -0.63942892 -0.74597219 -0.18616128  0.06044023  0.08190405  0.03201846]",,,,
2,,,"[ 4.54259418e-01  8.60839864e-02  8.86700570e-01 -1.50761641e-01
  9.88392863e-01 -1.87209805e-02 -8.78020091e-01 -1.25176255e-01
  4.61964931e-01  1.50476210e-02 -5.22136688e-05 -4.10686852e-03]",,,
