,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.39881024  0.91377881 -0.07719255  0.47692359  0.27857089  0.8336319
  0.78325876  0.29564599 -0.5468996  -0.00232594 -0.00604725 -0.01344919]",,,,,
1,,"[-1.18348521e-01  1.48284980e-01 -9.81837533e-01  5.36638190e-01
  8.41501648e-01  6.24050718e-02  8.35471620e-01 -5.19506020e-01
 -1.79165848e-01 -7.85340555e-03 -4.15921211e-04 -1.03862491e-02]",,,,
2,,,"[ 0.49719633  0.0978205  -0.86210609 -0.26373897 -0.92956682 -0.25757936
 -0.82658183  0.35543849 -0.4363781   0.00185736  0.00439298  0.00160093]",,,
3,,,,"[-1.60683431e-01 -2.62102562e-01  9.51568657e-01  3.21658449e-01
 -9.25368658e-01 -2.00570193e-01  9.33121913e-01  2.73851797e-01
  2.32999087e-01 -4.20126272e-03  4.08053369e-04  3.57611943e-03]",,
4,,,,,"[-0.2087892  -0.22079118 -0.9527109  -0.33323638  0.93194376 -0.14294866
  0.91943479  0.28763182 -0.26815545  0.00144059 -0.00944376  0.00177752]",
5,,,,,,"[-0.6584506   0.06222372 -0.75004712 -0.05913688 -0.99777257 -0.03085994
 -0.75029681  0.0240357   0.66066399  0.          0.          0.        ]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-3.98790938e-01  9.13773322e-01 -7.73554699e-02  4.76792354e-01
  2.78657869e-01  8.33677829e-01  7.83348329e-01  2.95580761e-01
 -5.46806318e-01 -4.69728606e-04 -4.12803888e-03 -1.77765191e-02]",,,,,
1,,"[-0.11828186  0.14831843 -0.98184068  0.53647512  0.84159828  0.06250433
  0.83558598 -0.51933995 -0.17911496 -0.00845889 -0.00100917 -0.00424745]",,,,
2,,,"[ 4.97282461e-01  9.77874783e-02 -8.62060078e-01 -2.63711580e-01
 -9.29577111e-01 -2.57569188e-01 -8.26538669e-01  3.55419883e-01
 -4.36474520e-01  6.41469436e-04  6.05678512e-03 -1.07903010e-03]",,,
3,,,,"[-0.16068343 -0.26215325  0.95155472  0.32170815 -0.92534343 -0.20060708
  0.93310481  0.27388868  0.23302432  0.          0.          0.        ]",,
4,,,,,"[-0.20865417 -0.22113893 -0.95265987 -0.33300209  0.93195841 -0.14339847
  0.91955036  0.28731704 -0.26809674  0.          0.          0.        ]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.39871047  0.91381364 -0.07729408  0.47682029  0.27856115  0.83369418
  0.7833723   0.29554731 -0.54679008  0.00182694 -0.00333393 -0.01898664]",,,,,
1,,"[-0.11825544  0.14828002 -0.98184968  0.53626833  0.84172817  0.06252979
  0.83572247 -0.51914038 -0.17905682 -0.00215776  0.00985688 -0.00700347]",,,,
2,,,"[ 0.49741587  0.09779354 -0.86198251 -0.26365249 -0.92958389 -0.25760642
 -0.82647734  0.35540137 -0.43660625  0.          0.          0.        ]",,,
3,,,,"[-0.16081487 -0.2621606   0.95153043  0.3217107  -0.92534917 -0.20057606
  0.93308123  0.27386191  0.23315    -0.00794527 -0.00193608  0.00392964]",,
4,,,,,"[-2.08390053e-01 -2.21385543e-01 -9.52660384e-01 -3.33165210e-01
  9.31857836e-01 -1.43672907e-01  9.19551145e-01  2.87453305e-01
 -2.67947864e-01  6.85097277e-03  9.51707305e-04  2.39217607e-03]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-3.98630008e-01  9.13854036e-01 -7.72326377e-02  4.76848301e-01
  2.78464302e-01  8.33710568e-01  7.83396310e-01  2.95513813e-01
 -5.46773964e-01 -7.16805458e-04 -1.80143118e-03 -1.81944724e-02]",,,,,
1,,"[-1.18295846e-01  1.48208084e-01 -9.81855687e-01  5.36224691e-01
  8.41761458e-01  6.24559606e-02  8.35744762e-01 -5.19106954e-01
 -1.79049724e-01 -9.04746295e-04  1.46172643e-02 -6.72101742e-03]",,,,
2,,,"[ 0.4974547   0.09772149 -0.86196826 -0.26365681 -0.92959853 -0.25754901
 -0.82645258  0.35538277 -0.43666818  0.00323386  0.00694728 -0.00161255]",,,
3,,,,"[-0.16088267 -0.26211132  0.95153254  0.3217128  -0.92536312 -0.20050825
  0.9330688   0.2738619   0.23319971 -0.00452557  0.00111485  0.00366645]",,
4,,,,,"[-2.07732380e-01 -2.21877513e-01 -9.52689679e-01 -3.33792052e-01
  9.31556257e-01 -1.44172830e-01  9.19472741e-01  2.88050878e-01
 -2.67575349e-01  1.66447763e-03  5.29378606e-03  8.99841718e-04]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.39863001  0.91385404 -0.07723264  0.4768483   0.2784643   0.83371057
  0.78339631  0.29551381 -0.54677396 -0.00168629 -0.00732511 -0.01695667]",,,,,
1,,"[-0.11822892  0.14819384 -0.98186586  0.53610212  0.84183583  0.06250561
  0.83583282 -0.51899039 -0.17897637 -0.00405517  0.02212554 -0.00476238]",,,,
2,,,"[ 0.4974547   0.0976853  -0.86197239 -0.26362212 -0.92962435 -0.25749165
 -0.82646367  0.35532542 -0.436694    0.00624719  0.00467288 -0.00239928]",,,
3,,,,"[-0.16101412 -0.26211878  0.95150832  0.32171537 -0.92536903 -0.20047736
  0.93304531  0.27383517  0.23332524 -0.0067927   0.00298166  0.00466271]",,
4,,,,,"[-0.20686522 -0.22231493 -0.95277636 -0.33442339  0.93125071 -0.14468281
  0.91943881  0.28870087 -0.26699069  0.          0.          0.        ]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.39858033  0.91387595 -0.07723083  0.47675149  0.2783944   0.83378933
  0.78348061  0.29551207 -0.54665427 -0.00183752 -0.00825745 -0.01131495]",,,,,
1,,"[-0.11820804  0.14883691 -0.98177112  0.53607133  0.841813    0.06307471
  0.83585554 -0.5188434  -0.17929627 -0.00374122  0.00744623 -0.00576407]",,,,
2,,,"[ 0.49732975  0.09768165 -0.86204487 -0.26354097 -0.92967626 -0.25738691
 -0.82656471  0.35519031 -0.4366125   0.00107714  0.00155759  0.00560489]",,,
3,,,,"[-0.16114973 -0.26207086  0.95149848  0.32176922 -0.92537158 -0.20037856
  0.93300325  0.27387198  0.23344999 -0.00212733  0.00212479  0.00630912]",,
4,,,,,"[-0.20649623 -0.22248429 -0.95281689 -0.33463668  0.93114036 -0.1448997
  0.91944417  0.28892624 -0.26672837 -0.00121083  0.00196606  0.00736725]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.39861089  0.91385454 -0.07732544  0.47665687  0.27846459  0.83381994
  0.78352254  0.29551201 -0.54659405  0.00198116 -0.0072611  -0.010141  ]",,,,,
1,,"[-0.11808674  0.14924389 -0.98172385  0.53603948  0.84180167  0.06349502
  0.83589301 -0.51874484 -0.17940623 -0.00295039  0.00160819 -0.01015462]",,,,
2,,,"[ 0.49728246  0.0976426  -0.86207659 -0.26357268 -0.92968039 -0.25733963
 -0.82658307  0.35519033 -0.4365778   0.00291068  0.00160217  0.00501853]",,,
3,,,,"[-0.16128119 -0.26207823  0.95147415  0.32177169 -0.92537738 -0.20034758
  0.93297965  0.27384516  0.23357565  0.          0.          0.        ]",,
4,,,,,"[-0.20649623 -0.22248429 -0.95281689 -0.33463668  0.93114036 -0.1448997
  0.91944417  0.28892624 -0.26672837 -0.00121083  0.00196606  0.00736725]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-3.98572544e-01  9.13828765e-01 -7.78266263e-02  4.76544821e-01
  2.78855161e-01  8.33753482e-01  7.83610254e-01  2.95223343e-01
 -5.46624390e-01 -8.27267487e-03  2.36570835e-04 -9.35945846e-03]",,,,,
1,,"[-0.11799865  0.14977732 -0.98165312  0.53596716  0.84180834  0.0640148
  0.83595173 -0.51858022 -0.17960796 -0.00537399  0.00144631 -0.00872189]",,,,
2,,,"[ 0.49724363  0.09767842 -0.8620949  -0.26353357 -0.92969138 -0.2573396
 -0.82661886  0.35515143 -0.43654149  0.00245372  0.00509691 -0.00295181]",,,
3,,,,"[-0.16161215 -0.2620437   0.9514276   0.32177864 -0.92540321 -0.2002178
  0.93292008  0.27379146  0.2338766   0.          0.          0.        ]",,
4,,,,,"[-0.20504964 -0.2231365  -0.95297657 -0.33538771  0.93073514 -0.14576409
  0.91949406  0.28972778 -0.26568414  0.00294945  0.0051561   0.00600254]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.39845736  0.91386827 -0.07795099  0.476549    0.27889704  0.83373702
  0.78366615  0.29506125 -0.54663156 -0.00108437 -0.0030933  -0.0113271 ]",,,,,
1,,"[-0.11807968  0.14977678 -0.98164352  0.5357579   0.84194144  0.06401624
  0.8360745  -0.51836427 -0.17966027 -0.0034799   0.00295287 -0.00756758]",,,,
2,,,"[ 0.4971575   0.09771141 -0.86214086 -0.26356096 -0.92968089 -0.25734975
 -0.82666196  0.35517004 -0.43644487  0.0050344   0.00581503  0.00354341]",,,
3,,,,"[-0.16201081 -0.26201052  0.95136896  0.32183735 -0.92541762 -0.20005701
  0.93283071  0.27377467  0.23425251  0.          0.          0.        ]",,
4,,,,,"[-0.20474788 -0.22320674 -0.95302522 -0.3356455   0.93062857 -0.14585119
  0.91946747  0.2900159  -0.26546257  0.00206449  0.00430649  0.01172209]",
5,,,,,,"[-6.58489219e-01  6.22291844e-02 -7.50012978e-01 -5.90541722e-02
 -9.97775229e-01 -3.09384020e-02 -7.50269647e-01  2.39187914e-02
  6.60699134e-01  7.71706342e-04  8.04138090e-03  1.24431890e-03]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
