,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.0530846   0.32971347 -0.9425874   0.98164441  0.1903845   0.01131153
  0.18318358 -0.92468521 -0.33376786  0.01446385  0.00913632 -0.02085994]",,,,,
1,,"[ 2.99932656e-01  9.45219465e-01 -1.28843265e-01 -9.35499189e-01
  2.64990942e-01 -2.33711554e-01 -1.86766407e-01  1.90630498e-01
  9.63731458e-01  7.76665838e-05  4.86832857e-03  1.44853839e-03]",,,,
2,,,"[-5.13154666e-01 -1.38723779e-01 -8.47011040e-01  2.59061558e-01
 -9.65859817e-01  1.23854920e-03 -8.18265909e-01 -2.18792454e-01
  5.31573768e-01  5.37423324e-03 -3.24904890e-04  8.04451760e-04]",,,
3,,,,"[ 0.12552158  0.32327499 -0.93794325  0.17721909 -0.93752077 -0.29941281
 -0.97613403 -0.1286387  -0.17496952  0.          0.          0.        ]",,
4,,,,,"[-0.51255456  0.07705665 -0.85518987 -0.11174999  0.98150801  0.15541542
  0.8513515   0.17522639 -0.49446532  0.00433847 -0.00737417 -0.00181657]",
5,,,,,,"[ 9.72899422e-01 -1.38740092e-01 -1.84980799e-01 -1.88834536e-01
 -9.38418016e-01 -2.89331508e-01 -1.33447469e-01  3.16421223e-01
 -9.39185263e-01  4.70593851e-03  7.79938698e-03 -3.69868707e-04]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.05201333  0.32820454 -0.94317357  0.98172027  0.18995331  0.01196068
  0.18308449 -0.9253105  -0.33208516  0.0263281   0.01108003 -0.03092683]",,,,,
1,,"[ 0.30037211  0.94494961 -0.12979473 -0.93544074  0.26525718 -0.23364307
 -0.18635198  0.19159514  0.96362038  0.00629761  0.00169396  0.00192729]",,,,
2,,,"[-0.51310343 -0.13876857 -0.84703481  0.25908533 -0.96585346  0.00128982
 -0.81829058 -0.21879249  0.5315358  -0.00307274 -0.00461811  0.0065441 ]",,,
3,,,,"[ 0.12558124  0.32317469 -0.93796982  0.17717618 -0.93756093 -0.29931239
 -0.97613414 -0.12859791 -0.17499883  0.          0.          0.        ]",,
4,,,,,"[-0.51262756  0.07673665 -0.85517504 -0.11247446  0.98141405  0.15548622
  0.85121229  0.17589189 -0.49446898  0.00360738  0.00148714 -0.00770875]",
5,,,,,,"[ 9.72829477e-01 -1.38539827e-01 -1.85498047e-01 -1.88921444e-01
 -9.38158336e-01 -2.90116554e-01 -1.33833843e-01  3.17278495e-01
 -9.38841227e-01 -5.16514573e-03  8.54110718e-03  6.36444078e-04]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.05097791  0.32635708 -0.94387094  0.98176168  0.18969999  0.01256718
  0.18315371 -0.92601566 -0.33007539  0.01891869 -0.00239426 -0.00619006]",,,,,
1,,"[ 0.30076105  0.94466102 -0.13099006 -0.93536419  0.26538017 -0.23381026
 -0.18610927  0.19284443  0.96341806  0.00294721  0.00565434  0.00212038]",,,,
2,,,"[-0.51293782 -0.1386331  -0.84715736  0.25919505 -0.96582431  0.00111463
 -0.81835973 -0.21900726  0.53134089 -0.00144213 -0.00390762  0.01084163]",,,
3,,,,"[ 0.12572031  0.32312482 -0.93796833  0.17702368 -0.93760266 -0.29927159
 -0.97614386 -0.12841813 -0.17507627  0.          0.          0.        ]",,
4,,,,,"[-0.51264544  0.07611407 -0.85521995 -0.11386469  0.98123828  0.15558366
  0.85101666  0.17713862 -0.49436062 -0.00122729  0.00323313 -0.00950216]",
5,,,,,,"[ 9.72801364e-01 -1.38470751e-01 -1.85696936e-01 -1.88976653e-01
 -9.38023423e-01 -2.90515845e-01 -1.33960163e-01  3.17706598e-01
 -9.38678202e-01 -4.44516120e-03  4.36687469e-03  4.00507473e-04]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
0,"[-0.0504654   0.32532881 -0.94425335  0.98178583  0.18955675  0.01283771
  0.18316607 -0.92640671 -0.32896927  0.00735171  0.00606489 -0.0048563 ]",,,,,
1,,"[ 3.00983036e-01  9.44490066e-01 -1.31710386e-01 -9.35312972e-01
  2.65433285e-01 -2.33954502e-01 -1.86007406e-01  1.93606766e-01
  9.63284828e-01  1.39814045e-03  7.66265392e-03 -2.41775269e-04]",,,,
2,,,"[-5.12823338e-01 -1.38531383e-01 -8.47243283e-01  2.59205169e-01
 -9.65821669e-01  1.02703372e-03 -8.18428253e-01 -2.19083158e-01
  5.31204041e-01 -6.46883808e-03 -2.46882415e-03 -3.16388207e-04]",,,
3,,,,"[ 0.12598843  0.32302487 -0.93796678  0.17683026 -0.93767121 -0.29917115
 -0.97614436 -0.12816884 -0.17525613  0.00494293 -0.00197256  0.00313846]",,
4,,,,,"[-5.12580524e-01  7.56666757e-02 -8.55298481e-01 -1.15130253e-01
  9.81057853e-01  1.55789959e-01  8.50885399e-01  1.78325659e-01
 -4.94159622e-01  8.08817684e-04  6.15137815e-03  2.48926855e-03]",
5,,,,,,"[ 0.97283016 -0.13819562 -0.18575103 -0.18888571 -0.93770137 -0.29161342
 -0.13387929  0.31877605 -0.93832735 -0.00485876  0.0055362  -0.00535484]"
,LeftForeArm,RightForeArm,LeftLeg,RightLeg,Head,Hips
